instanceSelection,lshMEthod,sizeBucket,ands,ors,imbalance,neigh,subBuckets,distance,isMethod,trees,depth,type,k,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,AreaROC,timeLSH,timeIS,buckets,buckMax,buckMin,buckAvg,reduction
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,10,10,Train,1,421,3878,421,24,94.60674157,90.20702489,50,90.61973019,65.42346542,92.38069437,93.28682657,0.986459538,0.099969839,0.369255611,4,2263,83,1083,0.506925208
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,10,10,Test,1,97,1014,97,17,85.0877193,91.26912691,50,90.69387755,62.98701299,88.124241,86.94214158,0.940829651,0.099969839,0.369255611,4,2263,83,1083,0.506925208
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,10,10,Train,1,433,1744,433,12,97.30337079,80.11024345,50,83.02822273,66.05644546,88.28927864,92.14543259,0.988628598,0.099969839,0.369255611,4,2263,83,1083,0.506925208
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,10,10,Test,1,102,1004,102,12,89.47368421,90.77757685,50,90.6557377,64.1509434,90.12327249,89.864852,0.908728635,0.099969839,0.369255611,4,2263,83,1083,0.506925208
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,10,20,Train,1,431,3881,431,14,96.85393258,90.00463822,50,90.64536473,65.95256312,93.36649914,94.79914427,0.991337836,0.044754993,0.299320762,4,2135,250,1083,0.516389658
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,10,20,Test,1,94,1013,94,20,82.45614035,91.50858175,50,90.66339066,62.25165563,86.86451784,85.17187277,0.933715684,0.044754993,0.299320762,4,2135,250,1083,0.516389658
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,10,20,Train,1,437,1787,437,8,98.20224719,80.35071942,50,83.3270888,66.26231994,88.82916869,92.84678886,0.992115479,0.044754993,0.299320762,4,2135,250,1083,0.516389658
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,10,20,Test,1,107,1001,107,7,93.85964912,90.34296029,50,90.6710311,65.24390244,92.08451853,92.80464247,0.904924724,0.044754993,0.299320762,4,2135,250,1083,0.516389658
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,10,30,Train,1,430,3883,430,15,96.62921348,90.03014143,50,90.64733081,65.90038314,93.27133406,94.64949187,0.993467641,0.069430192,0.32824303,4,2657,99,1083,0.512927054
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,10,30,Test,1,97,1017,97,17,85.0877193,91.29263914,50,90.71661238,62.98701299,88.1355913,86.94919525,0.953684259,0.069430192,0.32824303,4,2657,99,1083,0.512927054
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,10,30,Train,1,439,1775,439,6,98.65168539,80.17163505,50,83.26438511,66.36432351,88.93293495,93.10767029,0.996047979,0.069430192,0.32824303,4,2657,99,1083,0.512927054
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,10,30,Test,1,104,1011,104,10,91.22807018,90.67264574,50,90.72416599,64.59627329,90.94993397,91.06144284,0.935780806,0.069430192,0.32824303,4,2657,99,1083,0.512927054
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,25,10,Train,1,427,3876,427,18,95.95505618,90.07669068,50,90.62763269,65.74287914,92.96942462,94.19154653,0.985131674,0.039839582,0.51955795,4,2258,92,1083,0.505309326
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,25,10,Test,1,99,1017,99,15,86.84210526,91.12903226,50,90.73170732,63.46153846,88.95974939,88.12818336,0.955349381,0.039839582,0.51955795,4,2258,92,1083,0.505309326
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,25,10,Train,1,440,1736,440,5,98.87640449,79.77941176,50,83.02174742,66.41509434,88.81610996,93.14730668,0.989635472,0.039839582,0.51955795,4,2258,92,1083,0.505309326
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,25,10,Test,1,105,1007,105,9,92.10526316,90.55755396,50,90.70146819,64.81481481,91.32813005,91.6409504,0.922400134,0.039839582,0.51955795,4,2258,92,1083,0.505309326
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,25,20,Train,1,438,3881,438,7,98.42696629,89.8587636,50,90.65910999,66.31339894,94.04533745,95.85650549,0.992343037,0.034701819,0.365504073,4,2402,167,1083,0.507386888
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,25,20,Test,1,101,1016,101,13,88.59649123,90.95792301,50,90.73923639,63.92405063,89.76944262,89.30492076,0.952774097,0.034701819,0.365504073,4,2402,167,1083,0.507386888
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,25,20,Train,1,445,1749,445,0,100,79.71741112,50,83.1375521,66.66666667,89.28460736,93.91522334,0.995545657,0.034701819,0.365504073,4,2402,167,1083,0.507386888
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,25,20,Test,1,106,1008,106,8,92.98245614,90.48473968,50,90.71661238,65.03067485,91.72509656,92.2331412,0.926957301,0.034701819,0.365504073,4,2402,167,1083,0.507386888
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,25,30,Train,1,439,3878,439,6,98.65168539,89.83090109,50,90.6551869,66.36432351,94.13803585,96.0054501,0.989182958,0.037352607,0.292059203,4,2004,169,1083,0.516158818
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,25,30,Test,1,100,1015,100,14,87.71929825,91.03139013,50,90.72416599,63.69426752,89.36000034,88.71292581,0.947742733,0.037352607,0.292059203,4,2004,169,1083,0.516158818
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,25,30,Train,1,443,1789,443,2,99.5505618,80.15232975,50,83.37691446,66.56649136,89.32642082,93.73109218,0.997194462,0.037352607,0.292059203,4,2004,169,1083,0.516158818
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,25,30,Test,1,108,1005,108,6,94.73684211,90.29649596,50,90.70904645,65.45454545,92.49002584,93.40473826,0.918907641,0.037352607,0.292059203,4,2004,169,1083,0.516158818
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,50,10,Train,1,428,3878,428,17,96.17977528,90.06038086,50,90.63355083,65.79554189,93.06979743,94.34395696,0.987520232,0.035646715,0.33097585,4,2736,187,1083,0.516158818
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,50,10,Test,1,100,1017,100,14,87.71929825,91.04744852,50,90.73923639,63.69426752,89.36788177,88.71774333,0.956173438,0.035646715,0.33097585,4,2736,187,1083,0.516158818
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,50,10,Train,1,438,1784,438,7,98.42696629,80.2880288,50,83.31458568,66.31339894,88.89604662,92.98528505,0.990180616,0.035646715,0.33097585,4,2736,187,1083,0.516158818
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,50,10,Test,1,107,1009,107,7,93.85964912,90.41218638,50,90.73170732,65.24390244,92.11979206,92.8254103,0.931514468,0.035646715,0.33097585,4,2736,187,1083,0.516158818
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,50,20,Train,1,439,3881,439,6,98.65168539,89.83796296,50,90.6610703,66.36432351,94.14173601,96.00756866,0.992486624,0.033534484,0.368847762,4,1941,101,1083,0.493536473
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,50,20,Test,1,102,1015,102,12,89.47368421,90.86839749,50,90.73923639,64.1509434,90.16834423,89.8920982,0.949514884,0.033534484,0.368847762,4,1941,101,1083,0.493536473
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,50,20,Train,1,444,1691,444,1,99.7752809,79.20374707,50,82.75193798,66.61665416,88.89643476,93.60382075,0.997462339,0.033534484,0.368847762,4,1941,101,1083,0.493536473
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,50,20,Test,1,109,1011,109,5,95.61403509,90.26785714,50,90.76175041,65.6626506,92.9024976,94.0101817,0.940628801,0.033534484,0.368847762,4,1941,101,1083,0.493536473
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,50,30,Train,1,439,3881,439,6,98.65168539,89.83796296,50,90.6610703,66.36432351,94.14173601,96.00756866,0.992486624,0.035624355,0.319270655,4,2833,79,1083,0.524930748
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,50,30,Test,1,100,1016,100,14,87.71929825,91.03942652,50,90.73170732,63.69426752,89.36394467,88.71533673,0.95191948,0.035624355,0.319270655,4,2833,79,1083,0.524930748
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,50,30,Train,1,444,1825,444,1,99.7752809,80.43190833,50,83.60353721,66.61665416,89.58301316,93.97226913,0.995261892,0.035624355,0.319270655,4,2833,79,1083,0.524930748
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,50,30,Test,1,101,1008,101,13,88.59649123,90.89269612,50,90.67865904,63.92405063,89.73724954,89.2853527,0.921599794,0.035624355,0.319270655,4,2833,79,1083,0.524930748
NOIS,projection,0.1,2,1,TRUE,4,1000,6,entropy,10,10,Train,1,430,3879,430,15,96.62921348,90.02088652,50,90.63946151,65.90038314,93.26653988,94.64671539,0.98894154,0.086762855,0.321519346,700,132,1,6.188571429,0.412049861
NOIS,projection,0.1,2,1,TRUE,4,1000,6,entropy,10,10,Test,1,101,1014,101,13,88.59649123,90.94170404,50,90.72416599,63.92405063,89.76143874,89.30005507,0.944563743,0.086762855,0.321519346,700,132,1,6.188571429,0.412049861
IS,projection,0.1,2,1,TRUE,4,1000,6,entropy,10,10,Train,1,437,1334,437,8,98.20224719,75.32467532,50,79.91877256,66.26231994,86.0061183,91.33897563,0.990247365,0.086762855,0.321519346,700,132,1,6.188571429,0.412049861
IS,projection,0.1,2,1,TRUE,4,1000,6,entropy,10,10,Test,1,102,1005,102,12,89.47368421,90.78590786,50,90.66339066,64.1509434,90.12740788,89.86735131,0.912133082,0.086762855,0.321519346,700,132,1,6.188571429,0.412049861
NOIS,projection,0.1,2,1,TRUE,4,1000,6,entropy,10,20,Train,1,431,3881,431,14,96.85393258,90.00463822,50,90.64536473,65.95256312,93.36649914,94.79914427,0.991337836,0.09120184,0.281457831,622,203,1,6.964630225,0.364958449
NOIS,projection,0.1,2,1,TRUE,4,1000,6,entropy,10,20,Test,1,97,1016,97,17,85.0877193,91.28481581,50,90.70904645,62.98701299,88.13181482,86.94684825,0.949318709,0.09120184,0.281457831,622,203,1,6.964630225,0.364958449
IS,projection,0.1,2,1,TRUE,4,1000,6,entropy,10,20,Train,1,438,1129,438,7,98.42696629,72.04850032,50,77.88270378,66.31339894,84.21113532,90.5134265,0.989053846,0.09120184,0.281457831,622,203,1,6.964630225,0.364958449
IS,projection,0.1,2,1,TRUE,4,1000,6,entropy,10,20,Test,1,105,1010,105,9,92.10526316,90.58295964,50,90.72416599,64.81481481,91.34094008,91.6485721,0.933083906,0.09120184,0.281457831,622,203,1,6.964630225,0.364958449
NOIS,projection,0.1,2,1,TRUE,4,1000,6,entropy,10,30,Train,1,431,3877,431,14,96.85393258,89.99535747,50,90.63749211,65.95256312,93.36168532,94.79636005,0.986863108,0.079562273,0.351998712,735,90,1,5.893877551,0.340720222
NOIS,projection,0.1,2,1,TRUE,4,1000,6,entropy,10,30,Test,1,94,1012,94,20,82.45614035,91.50090416,50,90.6557377,62.25165563,86.86087379,85.16956949,0.929562414,0.079562273,0.351998712,735,90,1,5.893877551,0.340720222
IS,projection,0.1,2,1,TRUE,4,1000,6,entropy,10,30,Train,1,443,1020,443,2,99.5505618,69.71975393,50,76.67714885,66.56649136,83.31050757,90.60131944,0.986906989,0.079562273,0.351998712,735,90,1,5.893877551,0.340720222
IS,projection,0.1,2,1,TRUE,4,1000,6,entropy,10,30,Test,1,103,1011,103,11,90.35087719,90.7540395,50,90.71661238,64.375,90.55223397,90.47182588,0.934789335,0.079562273,0.351998712,735,90,1,5.893877551,0.340720222
NOIS,projection,0.1,2,1,TRUE,4,1000,6,entropy,25,10,Train,1,430,3875,430,15,96.62921348,90.0116144,50,90.63157895,65.90038314,93.26173655,94.64393376,0.984497319,0.103015907,0.312680606,635,132,1,6.822047244,0.38365651
NOIS,projection,0.1,2,1,TRUE,4,1000,6,entropy,25,10,Test,1,102,1015,102,12,89.47368421,90.86839749,50,90.73923639,64.1509434,90.16834423,89.8920982,0.949514884,0.103015907,0.312680606,635,132,1,6.822047244,0.38365651
IS,projection,0.1,2,1,TRUE,4,1000,6,entropy,25,10,Train,1,436,1211,436,9,97.97752809,73.52762599,50,78.72848948,66.2110858,84.87670493,90.64255746,0.989524145,0.103015907,0.312680606,635,132,1,6.822047244,0.38365651
