lshMEthod,sizeBucket,ands,ors,imbalance,neigh,subBuckets,distance,isMethod,rate,executors,timeLSH,timeIS,buckets,buckMax,buckMin,buckAvg,reduction
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.22043158751666667,16.848822190266667,4.0,11432.0,4136.0,7094.75,0.004827513302089573
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.11121848818333334,22.67288008485,4.0,11228.0,3350.0,7113.75,0.005412054120541206
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.10176319253333334,21.01489180125,4.0,11587.0,2762.0,7118.75,0.004108867427568042
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.08605279731666667,17.409922117366666,4.0,11364.0,3148.0,7089.5,0.00504266873545384
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.07218025863333333,17.99761362325,4.0,11316.0,3613.0,7166.0,0.004116662015071169
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.10662951753333333,40.616300984683335,4.0,29905.0,7443.0,17937.75,0.004836169530738247
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.10369062086666667,42.50372498936667,4.0,29554.0,6491.0,17777.5,0.004542258472788638
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.09091593293333333,36.38488748856667,4.0,26197.0,9518.0,17860.0,0.005011198208286674
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.10443274243333334,43.102705377983334,4.0,29600.0,6161.0,17677.0,0.005303501725405895
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.07829014648333334,42.471680338616665,4.0,26643.0,9047.0,17905.75,0.004788964438797593
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.5,2,0.1321654232,83.94203240541667,4.0,58022.0,14814.0,35522.75,0.004996797826744832
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.5,2,0.12168557656666666,79.6964583943,4.0,57305.0,17095.0,35510.75,0.005174489415177094
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.5,2,0.10538630635,77.59341567413334,4.0,61738.0,13014.0,35641.5,0.005358921481980276
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.5,2,0.09018164185,87.32057458348334,4.0,59631.0,11739.0,35489.75,0.004444945371550941
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.5,2,0.12477719676666667,90.51081466145,4.0,60188.0,12554.0,35625.5,0.005115717674137907
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.75,2,0.13974548733333333,112.96421475816666,4.0,81002.0,25018.0,53410.25,0.00484457571346324
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.75,2,0.1260710148,124.57603059551667,4.0,86562.0,22683.0,53392.75,0.005038137200275318
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.75,2,0.09720431508333334,121.8124232836,4.0,84095.0,24965.0,53514.25,0.004741727670667158
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.75,2,0.14456177018333333,116.96808752751667,4.0,91956.0,19147.0,53523.5,0.004768933272300952
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.75,2,0.1150040991,114.50925463725,4.0,84526.0,26631.0,53405.5,0.004863731263633896
hyperplanes,0.1,2,1,true,4,1000,6,drop3,1.0,2,0.15460120206666667,152.20262479601666,4.0,109084.0,36116.0,71201.75,0.004999877109762049
hyperplanes,0.1,2,1,true,4,1000,6,drop3,1.0,2,0.17949371776666667,142.82824619575,4.0,101942.0,38598.0,71201.75,0.004852408824221314
hyperplanes,0.1,2,1,true,4,1000,6,drop3,1.0,2,0.14635905876666666,155.46996825851667,4.0,107354.0,39800.0,71201.75,0.004915609518024487
hyperplanes,0.1,2,1,true,4,1000,6,drop3,1.0,2,0.14117203693333333,143.40562792741667,4.0,115880.0,31611.0,71201.75,0.004866453422844242
hyperplanes,0.1,2,1,true,4,1000,6,drop3,1.0,2,0.13968953991666666,155.5875499442,4.0,120998.0,24760.0,71201.75,0.004876986871811437
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.2529063827333333,0.5930394024333333,3653.0,120.0,1.0,7.848343826991514,0.20980118590861527
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.23960583913333333,0.60557774805,3668.0,137.0,1.0,7.787350054525627,0.20700882229379639
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.23481590436666666,0.6212672235166666,3952.0,66.0,1.0,7.216599190283401,0.22131837307152874
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.23133466453333335,0.5414850896333333,3185.0,106.0,1.0,8.938147566718996,0.17707601517493327
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.21999981073333333,0.49837498453333334,3257.0,97.0,1.0,8.775253300583358,0.18676743290997516
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.25475008915,0.67184752785,3846.0,329.0,1.0,18.55408216328653,0.08223209405961407
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.2671937508666667,0.69018213055,4540.0,259.0,1.0,15.726872246696034,0.09781512605042017
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.22450458861666667,0.68682952005,5092.0,237.0,1.0,13.931461115475255,0.10793780572040768
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.25433400203333334,0.6587258616333334,4703.0,256.0,1.0,15.188603019349351,0.10036118266323217
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.23206415131666666,0.6917372554,4777.0,215.0,1.0,14.938873770148628,0.10316270336168602
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.5,2,3.5775814159,1.1152127026666667,5883.0,528.0,1.0,24.19649838517763,0.061665776828617194
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.5,2,3.2808772228166667,1.8091330919833333,5768.0,625.0,1.0,24.687760055478503,0.060878236504469836
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.5,2,2.9967449103333332,0.8814636132666667,6335.0,368.0,1.0,22.444041041831095,0.06660430571868649
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.5,2,3.2331847514,0.8557804861166667,6398.0,505.0,1.0,22.309784307596125,0.06561672434810632
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.5,2,3.186202666183333,1.2288346935333334,6497.0,538.0,1.0,21.93566261351393,0.06820286844985826
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.75,2,3.6693742199833332,2.2508709424,6996.0,701.0,1.0,30.53902229845626,0.04947320630373834
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.75,2,3.3233041422333334,2.28879737855,6680.0,743.0,1.0,31.994760479041915,0.04692946543455375
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.75,2,3.343892949033333,3.92614002255,7155.0,985.0,1.0,29.830328441649197,0.05098483854644952
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.75,2,3.3247398074666665,2.2950697913,6236.0,656.0,1.0,34.29842847979474,0.043916123150291045
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.75,2,3.4296447236166667,1.6665307355,8288.0,706.0,1.0,25.79319498069498,0.058393443543181114
