isMethod,trees,depth,type,k,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,AreaROC,timeIS,reduction
undersampling,10,10,Train,1,385.0,376.0,385.0,5.0,98.71794871794873,49.40867279894875,50.0,66.11642050390965,66.37931034482759,69.83926422570995,83.92516594224873,0.992142983422409,0.09351161671666666,0.0033618380970330793
undersampling,10,10,Test,1,92.0,54600.0,92.0,10.0,90.19607843137256,99.83178527024063,50.0,99.8138482315582,64.33566433566435,94.89170424319803,93.08679048303298,0.5223693791773485,0.09351161671666666,0.0033618380970330793
undersampling,10,20,Train,1,388.0,397.0,388.0,2.0,99.48717948717949,50.57324840764331,50.0,66.80851063829788,66.55231560891937,70.93229054232582,84.81300016331863,0.9974937343358397,0.09363192906666666,0.003449500107385963
undersampling,10,20,Test,1,92.0,55271.0,92.0,10.0,90.19607843137256,99.83382403410221,50.0,99.81610024339673,64.33566433566435,94.89267317703579,93.08740211219146,0.5333155079855627,0.09363192906666666,0.003449500107385963
undersampling,10,30,Train,1,387.0,404.0,387.0,3.0,99.23076923076923,51.07458912768648,50.0,66.97713801862828,66.49484536082474,71.19108629095227,84.7839151998444,0.9963144963144963,0.08599340756666667,0.003480181811009472
undersampling,10,30,Test,1,92.0,54931.0,92.0,10.0,90.19607843137256,99.83279719390073,50.0,99.81496598639455,64.33566433566435,94.89218516676904,93.08709406013101,0.5266999076692606,0.08599340756666667,0.003480181811009472
undersampling,25,10,Train,1,385.0,394.0,385.0,5.0,98.71794871794873,50.57766367137355,50.0,66.63815226689478,66.37931034482759,70.66061992782339,84.27586320397617,0.993734335839599,0.08650642218333333,0.00343635080583303
undersampling,25,10,Test,1,91.0,55106.0,91.0,11.0,89.2156862745098,99.83513596753447,50.0,99.81554820159496,64.08450704225352,94.37616314330958,92.4015211824172,0.5294264939110062,0.08650642218333333,0.00343635080583303
undersampling,25,20,Train,1,389.0,417.0,389.0,1.0,99.74358974358975,51.736972704714645,50.0,67.3913043478261,66.60958904109589,71.83614257485127,85.34160463192721,0.9988038277511962,0.10151631661666667,0.003537162117738846
undersampling,25,20,Test,1,91.0,54781.0,91.0,11.0,89.2156862745098,99.83415949846916,50.0,99.81445774366064,64.08450704225352,94.37570160425193,92.40122824169761,0.5242833288498473,0.10151631661666667,0.003537162117738846
