isMethod,trees,depth,type,k,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,AreaROC,timeIS,reduction
undersampling,10,10,Train,1,446.0,534.0,446.0,3.0,99.33184855233853,54.48979591836734,50.0,68.57942617214835,66.51752423564504,73.57018523703131,85.87923276214715,0.9927622594661699,0.09417014795,0.22731460156609856
undersampling,10,10,Test,1,108.0,967.0,108.0,3.0,97.2972972972973,89.95348837209303,50.0,90.64080944350759,66.05504587155964,93.5533607149872,95.09415461973603,0.8338573349554972,0.09417014795,0.22731460156609856
undersampling,10,20,Train,1,448.0,494.0,448.0,1.0,99.77728285077951,52.4416135881104,50.0,67.72106398274622,66.61710037174723,72.33589504618142,85.57658207197878,0.9934711351929896,0.14477566035,0.21833256563795486
undersampling,10,20,Test,1,110.0,967.0,110.0,1.0,99.09909909909909,89.78644382544104,50.0,90.65656565656566,66.46525679758308,94.32791577477515,96.30530251700168,0.8369067839578159,0.14477566035,0.21833256563795486
undersampling,10,30,Train,1,448.0,491.0,448.0,1.0,99.77728285077951,52.28966986155484,50.0,67.65129682997119,66.61710037174723,72.23102643566848,85.5309989540121,0.9989837398373983,0.08182650651666666,0.2164900967296177
undersampling,10,30,Test,1,109.0,962.0,109.0,2.0,98.1981981981982,89.82259570494865,50.0,90.60913705583756,66.26139817629179,93.91707542141191,95.68551745022333,0.8253099609908814,0.08182650651666666,0.2164900967296177
undersampling,25,10,Train,1,447.0,442.0,447.0,2.0,99.55456570155901,49.71878515185602,50.0,66.4424514200299,66.56738644825019,70.35433222625417,84.60383153664812,0.9955205762555429,0.06979153988333334,0.2056655918931368
undersampling,25,10,Test,1,110.0,964.0,110.0,1.0,99.09909909909909,89.75791433891993,50.0,90.63291139240506,66.46525679758308,94.31292831844992,96.29674367104535,0.8308071664897934,0.06979153988333334,0.2056655918931368
undersampling,25,20,Train,1,449.0,487.0,449.0,0.0,100.0,52.029914529914535,50.0,67.5812274368231,66.66666666666667,72.13176452154386,85.60897435897436,0.9988888888888889,0.07341284535,0.21579917088899125
undersampling,25,20,Test,1,109.0,962.0,109.0,2.0,98.1981981981982,89.82259570494865,50.0,90.60913705583756,66.26139817629179,93.91707542141191,95.68551745022333,0.8253099609908814,0.07341284535,0.21579917088899125
undersampling,25,30,Train,1,449.0,457.0,449.0,0.0,100.0,50.44150110375276,50.0,66.86346863468636,66.66666666666667,71.02218041130021,85.13245033112582,0.9955849889624724,0.13204287341666668,0.20958083832335328
undersampling,25,30,Test,1,108.0,964.0,108.0,3.0,97.2972972972973,89.92537313432835,50.0,90.61707523245984,66.05504587155964,93.53873937797717,95.08572004840661,0.827717103437839,0.13204287341666668,0.20958083832335328
undersampling,50,10,Train,1,448.0,512.0,448.0,1.0,99.77728285077951,53.333333333333336,50.0,68.13342796309439,66.61710037174723,72.94830419807515,85.84409799554565,0.9979117553845018,0.07204988711666667,0.2215568862275449
undersampling,50,10,Test,1,110.0,949.0,110.0,1.0,99.09909909909909,89.61284230406044,50.0,90.51282051282051,66.46525679758308,94.23668043836236,96.2532220605875,0.8033410875254434,0.07204988711666667,0.2215568862275449
undersampling,50,20,Train,1,449.0,471.0,449.0,0.0,100.0,51.19565217391304,50.0,67.20233747260774,66.66666666666667,71.55113707965307,85.3586956521739,0.9977827050997783,0.0725710932,0.21234454168585906
undersampling,50,20,Test,1,110.0,955.0,110.0,1.0,99.09909909909909,89.67136150234741,50.0,90.56122448979592,66.46525679758308,94.26744475094392,96.27077782007359,0.813762701733413,0.0725710932,0.21234454168585906
undersampling,50,30,Train,1,449.0,473.0,449.0,0.0,100.0,51.30151843817787,50.0,67.25018234865063,66.66666666666667,71.62507831631171,85.39045553145337,0.9966814159292036,0.06770617271666667,0.2130354675264855
undersampling,50,30,Test,1,107.0,955.0,107.0,4.0,96.3963963963964,89.92467043314501,50.0,90.53708439897699,65.84615384615384,93.10431878752324,94.454878607421,0.8089610058927662,0.06770617271666667,0.2130354675264855
undersampling,10,10,Train,2,446.0,470.0,446.0,1.0,99.77628635346755,51.310043668122276,50.0,67.20469552457814,66.6168782673637,71.55086030118362,85.23641354786398,0.9978198606420724,0.06829872008333333,0.21059876118375775
undersampling,10,10,Test,2,109.0,953.0,109.0,4.0,96.46017699115043,89.73634651600754,50.0,90.38297872340425,65.86102719033232,93.03754009792657,94.44302784860757,0.8450438938029537,0.06829872008333333,0.21059876118375775
undersampling,10,20,Train,2,446.0,484.0,446.0,1.0,99.77628635346755,52.04301075268817,50.0,67.53812636165577,66.6168782673637,72.06010230048807,85.45630367323373,0.9989690721649485,0.08837297385,0.2135810965817848
undersampling,10,20,Test,2,109.0,947.0,109.0,4.0,96.46017699115043,89.6780303030303,50.0,90.33361847733106,65.86102719033232,93.00730441878237,94.4255329847144,0.8322527787991976,0.08837297385,0.2135810965817848
undersampling,10,30,Train,2,445.0,461.0,445.0,2.0,99.55257270693512,50.88300220750553,50.0,66.96230598669624,66.56694091249065,71.17256337107604,84.95170155710625,0.9933858298017674,0.07302835918333334,0.20922229869236064
undersampling,10,30,Test,2,106.0,944.0,106.0,7.0,93.80530973451327,89.90476190476191,50.0,90.28374892519346,65.23076923076923,91.83432929511632,92.63514538558786,0.8214730377452215,0.07302835918333334,0.20922229869236064
undersampling,25,10,Train,2,446.0,507.0,446.0,1.0,99.77628635346755,53.20041972717734,50.0,68.07142857142857,66.6168782673637,72.85698533993505,85.8035263655805,0.9978971797988339,0.06801714531666667,0.21908694654737326
undersampling,25,10,Test,2,108.0,953.0,108.0,5.0,95.57522123893806,89.82092365692743,50.0,90.3747870528109,65.65349544072947,92.65341143420788,93.84893196433487,0.8435442428135539,0.06801714531666667,0.21908694654737326
undersampling,25,20,Train,2,447.0,504.0,447.0,0.0,100.0,52.99684542586751,50.0,68.02575107296137,66.66666666666667,72.79893229015623,85.89905362776025,1.0,0.1220294286,0.21816930488644184
undersampling,25,20,Test,2,109.0,951.0,109.0,4.0,96.46017699115043,89.71698113207547,50.0,90.36658141517476,65.86102719033232,93.02750066035154,94.43721823342796,0.8406730547597879,0.1220294286,0.21816930488644184
undersampling,25,30,Train,2,447.0,487.0,447.0,0.0,100.0,52.141327623126344,50.0,67.63215061549602,66.66666666666667,72.20895209260854,85.6423982869379,0.9966666666666666,0.0967871022,0.21495755907318193
