instanceSelection,lshMEthod,sizeBucket,ands,ors,imbalance,neigh,subBuckets,distance,isMethod,trees,depth,type,k,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,AreaROC,timeLSH,timeIS,buckets,buckMax,buckMin,buckAvg,reduction
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,10,10,Train,1,370.0,6616.0,370.0,19.0,95.11568123393316,94.70369310048669,50.0,94.72542372881357,65.54472984942426,94.90946361992637,94.99208479389921,0.993220605362101,0.051395935983333335,36.024885430366666,64.0,63056.0,240.0,3559.03125,0.03077118949152245
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,10,10,Test,1,81.0,56748.0,81.0,22.0,78.64077669902912,99.85746713825688,50.0,99.81908241410807,61.132075471698116,88.61641368815542,85.00578383079745,0.6561768920585197,0.051395935983333335,36.024885430366666,64.0,63056.0,240.0,3559.03125,0.03077118949152245
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,10,20,Train,1,384.0,9150.0,384.0,5.0,98.7146529562982,95.97230962869729,50.0,96.07981457220599,66.37856525496974,97.33382371206449,97.89194995801792,0.9984282238787971,0.03809668401666667,28.990188727266666,64.0,47573.0,246.0,3559.03125,0.04188288596791613
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,10,20,Test,1,83.0,56776.0,83.0,20.0,80.58252427184466,99.85402486853444,50.0,99.81917769741231,61.710037174721194,89.70222618536319,86.3639744508516,0.6779355192455976,0.03809668401666667,28.990188727266666,64.0,47573.0,246.0,3559.03125,0.04188288596791613
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,10,30,Train,1,379.0,7997.0,379.0,10.0,97.42930591259639,95.47516714422159,50.0,95.56189389617799,66.08544027898867,96.44728750333333,96.84306428208394,0.9993755463969027,0.033879063683333335,37.3958463858,64.0,59873.0,102.0,3559.03125,0.03681654944726883
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,10,30,Test,1,81.0,56839.0,81.0,22.0,78.64077669902912,99.85769501054111,50.0,99.81937113094716,61.132075471698116,88.61651479833608,85.00585219248272,0.7408779743585233,0.033879063683333335,37.3958463858,64.0,59873.0,102.0,3559.03125,0.03681654944726883
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,25,10,Train,1,360.0,8829.0,360.0,29.0,92.54498714652956,96.0822722820764,50.0,95.93860931300898,64.9233543733093,94.29704477529566,93.6061726871936,0.9969780200879497,0.039024756933333335,35.709129791116666,64.0,58793.0,392.0,3559.03125,0.04047361905012776
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,25,10,Test,1,79.0,56883.0,79.0,24.0,76.69902912621359,99.86131104947158,50.0,99.81950407430124,60.53639846743295,87.51723033074856,83.64771370319099,0.823559621435837,0.039024756933333335,35.709129791116666,64.0,58793.0,392.0,3559.03125,0.04047361905012776
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,25,20,Train,1,388.0,8893.0,388.0,1.0,99.74293059125964,95.81941601120569,50.0,95.97724922440538,66.60944206008583,97.76149221703156,98.56587621724346,0.999943782325163,0.034274073083333335,32.84863968605,64.0,51799.0,187.0,3559.03125,0.0407502041461423
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,25,20,Test,1,79.0,56795.0,79.0,24.0,76.69902912621359,99.86109645883884,50.0,99.81922530143741,60.53639846743295,87.51713629839647,83.64764932600116,0.6878840411364743,0.034274073083333335,32.84863968605,64.0,51799.0,187.0,3559.03125,0.0407502041461423
