instanceSelection,lshMEthod,sizeBucket,ands,ors,imbalance,neigh,subBuckets,distance,isMethod,trees,depth,type,k,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,AreaROC,timeLSH,timeIS,buckets,buckMax,buckMin,buckAvg,reduction
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,10,10,Train,1,374,640,374,15,96.14395887,63.11637081,50,72.27369922,65.78715919,77.89902284,86.23568245,0.987216285,0.05998011,17.61287531,64,55675,153,3559.03125,0.004521947
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,10,10,Test,1,82,56208,82,21,79.61165049,99.85432581,50,99.81735322,61.42322097,89.16034817,85.68445308,0.551063264,0.05998011,17.61287531,64,55675,153,3559.03125,0.004521947
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,10,20,Train,1,380,694,380,9,97.68637532,64.61824953,50,73.41079973,66.14447346,79.45012635,87.76593759,0.993598862,0.040453411,13.89751939,64,48639,180,3559.03125,0.00475463
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,10,20,Test,1,80,56563,80,23,77.66990291,99.85876454,50,99.81848941,60.8365019,88.06827208,84.3265614,0.590090223,0.040453411,13.89751939,64,48639,180,3559.03125,0.00475463
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,10,30,Train,1,385,672,385,4,98.97172237,63.57615894,50,73.09820194,66.43658326,79.32365317,88.35305334,0.99704142,0.038493017,13.78028241,64,58250,113,3559.03125,0.004658044
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,10,30,Test,1,80,56389,80,23,77.66990291,99.85832935,50,99.81793113,60.8365019,88.06808017,84.32643084,0.564625964,0.038493017,13.78028241,64,58250,113,3559.03125,0.004658044
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,25,10,Train,1,370,703,370,19,95.11568123,65.51724138,50,73.39261286,65.54472985,78.94122527,86.23614928,0.986842105,0.027021568,15.51929183,64,58854,91,3559.03125,0.004794142
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,25,10,Test,1,84,56507,84,19,81.55339806,99.8515665,50,99.81832293,61.99261993,90.23987228,87.04284859,0.583330942,0.027021568,15.51929183,64,58854,91,3559.03125,0.004794142
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,25,20,Train,1,388,664,388,1,99.74293059,63.11787072,50,73.00485774,66.60944206,79.34457384,88.75541263,0.99924812,0.029315764,19.04838982,64,59469,333,3559.03125,0.004622922
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,25,20,Test,1,83,56640,83,20,80.58252427,99.85367488,50,99.81874494,61.71003717,89.70206898,86.36386945,0.612289633,0.029315764,19.04838982,64,59469,333,3559.03125,0.004622922
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,25,30,Train,1,388,655,388,1,99.74293059,62.79961649,50,72.83519553,66.60944206,79.14428463,88.65993636,0.999237805,0.025635342,12.94516722,64,56342,96,3559.03125,0.00458341
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,25,30,Test,1,82,56556,82,21,79.61165049,99.85522088,50,99.81847341,61.42322097,89.16074777,85.6847216,0.590522377,0.025635342,12.94516722,64,56342,96,3559.03125,0.00458341
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,50,10,Train,1,380,668,380,9,97.68637532,63.74045802,50,72.92971468,66.14447346,78.90864531,87.50260013,0.992040692,0.028829846,15.30536352,64,50273,159,3559.03125,0.004644874
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,50,10,Test,1,82,56755,82,21,79.61165049,99.85572778,50,99.81910783,61.42322097,89.16097408,85.68487367,0.661870399,0.028829846,15.30536352,64,50273,159,3559.03125,0.004644874
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,50,20,Train,1,388,651,388,1,99.74293059,62.65640038,50,72.75910364,66.60944206,79.05398785,88.61697153,0.999233129,0.02753382,14.86068148,64,58315,100,3559.03125,0.004565849
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,50,20,Test,1,81,56786,81,22,78.6407767,99.85756238,50,99.81920309,61.13207547,88.61645595,85.0058124,0.683064284,0.02753382,14.86068148,64,58315,100,3559.03125,0.004565849
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,50,30,Train,1,389,688,389,0,100,63.88115135,50,73.46521146,66.66666667,79.92568507,89.1643454,1,0.028065058,15.86766562,64,60520,122,3559.03125,0.004728288
IS,hyperplanes,0.1,6,1,true,4,1200,6,drop3,50,30,Test,1,83,56698,83,20,80.58252427,99.85382434,50,99.81892975,61.71003717,89.70213612,86.36391429,0.633264204,0.028065058,15.86766562,64,60520,122,3559.03125,0.004728288
IS,hyperplanes-projection,0.1,6,1,true,4,1200,6,drop3,10,10,Train,1,346,214275,346,43,88.94601542,99.83878558,50,99.81907818,64.01480111,94.23514293,92.21384647,0.997026119,0.100097178,0.049665199,197276,127,1,1.154615868,0.942435178
IS,hyperplanes-projection,0.1,6,1,true,4,1200,6,drop3,10,10,Test,1,75,56922,75,28,72.81553398,99.86841413,50,99.81961471,59.28853755,85.27585768,80.93139802,0.974437715,0.100097178,0.049665199,197276,127,1,1.154615868,0.942435178
IS,hyperplanes-projection,0.1,6,1,true,4,1200,6,drop3,10,20,Train,1,374,211843,374,15,96.14395887,99.8237653,50,99.81703244,65.78715919,97.96658606,97.2479008,0.998631266,0.088202625,0.039253969,192647,123,1,1.182359445,0.931753725
IS,hyperplanes-projection,0.1,6,1,true,4,1200,6,drop3,10,20,Test,1,75,56921,75,28,72.81553398,99.86841182,50,99.81961155,59.28853755,85.27585669,80.93139733,0.968504166,0.088202625,0.039253969,192647,123,1,1.182359445,0.931753725
IS,hyperplanes-projection,0.1,6,1,true,4,1200,6,drop3,10,30,Train,1,374,216520,374,15,96.14395887,99.82756554,50,99.82097081,65.78715919,97.96845082,97.24904087,0.995986584,0.054448111,0.040112884,201142,122,1,1.13242386,0.952295656
IS,hyperplanes-projection,0.1,6,1,true,4,1200,6,drop3,10,30,Test,1,75,56920,75,28,72.81553398,99.86840951,50,99.81960839,59.28853755,85.27585571,80.93139664,0.962717125,0.054448111,0.040112884,201142,122,1,1.13242386,0.952295656
IS,hyperplanes-projection,0.1,6,1,true,4,1200,6,drop3,25,10,Train,1,347,212350,347,42,89.20308483,99.83685713,50,99.8174446,64.08125577,94.3703112,92.39321652,0.995615412,0.044978391,0.038839005,193515,128,1,1.177056042,0.933988357
