instanceSelection,lshMEthod,sizeBucket,ands,ors,imbalance,neigh,subBuckets,distance,isMethod,trees,depth,type,k,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,AreaROC,timeLSH,timeIS,buckets,buckMax,buckMin,buckAvg,reduction
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,drop3,10,10,Train,1,394,245,394,8,98.00995025,38.34115806,50,61.3832853,66.21848739,61.30101952,80.10931259,0.982923901,0.148169475,62.01254836,4,90468,29810,57093.75,0.002837438
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,drop3,10,10,Test,1,74,54638,74,16,82.22222222,99.86474631,50,99.83577242,62.18487395,90.61512767,87.51497945,0.520663523,0.148169475,62.01254836,4,90468,29810,57093.75,0.002837438
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,drop3,10,20,Train,1,398,253,398,4,99.00497512,38.86328725,50,61.82336182,66.44407346,62.02949933,80.96246876,0.990964766,0.118063473,68.62282028,4,92942,21799,57093.75,0.002872469
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,drop3,10,20,Test,1,78,53052,78,12,86.66666667,99.85319029,50,99.83089064,63.41463415,93.02657232,90.62262375,0.511466501,0.118063473,68.62282028,4,92942,21799,57093.75,0.002872469
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,drop3,10,30,Train,1,393,238,393,9,97.76119403,37.71790808,50,61.08422072,66.16161616,60.72353523,79.74820825,0.980512341,0.113789717,71.01946547,4,87493,24238,57093.75,0.002806787
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,drop3,10,30,Test,1,75,55081,75,15,83.33333333,99.86402205,50,99.83709228,62.5,91.22500664,88.29253995,0.527932736,0.113789717,71.01946547,4,87493,24238,57093.75,0.002806787
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,drop3,25,10,Train,1,398,243,398,4,99.00497512,37.90951638,50,61.45733461,66.44407346,61.26361666,80.6763375,0.990649701,0.107599987,71.76017368,4,101873,15131,57093.75,0.002828681
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,drop3,25,10,Test,1,77,55021,77,13,85.55555556,99.86024901,50,99.83692107,63.1147541,92.43159136,89.84696359,0.527421233,0.107599987,71.76017368,4,101873,15131,57093.75,0.002828681
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,drop3,25,20,Train,1,402,241,402,0,100,37.48055988,50,61.53110048,66.66666667,61.22136872,81.24416796,1,0.118076038,71.01109528,4,97069,21637,57093.75,0.002815545
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,drop3,25,20,Test,1,78,54614,78,12,86.66666667,99.85738316,50,99.83571246,63.41463415,93.02852541,90.62388162,0.521484847,0.118076038,71.01109528,4,97069,21637,57093.75,0.002815545
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,drop3,25,30,Train,1,402,242,402,0,100,37.57763975,50,61.56787763,66.66666667,61.30060338,81.27329193,1,0.117580214,64.76923444,4,108297,16646,57093.75,0.002819923
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,drop3,25,30,Test,1,77,54841,77,13,85.55555556,99.85979096,50,99.83638743,63.1147541,92.43137938,89.84682618,0.524279476,0.117580214,64.76923444,4,108297,16646,57093.75,0.002819923
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,drop3,50,10,Train,1,401,242,401,1,99.75124378,37.63608087,50,61.53110048,66.61129568,61.27190121,81.11669491,0.997942387,0.104728975,69.26661983,4,97845,17141,57093.75,0.002819923
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,drop3,50,10,Test,1,79,54783,79,11,87.77777778,99.85600233,50,99.8362207,63.70967742,93.62231562,91.40124514,0.524014398,0.104728975,69.26661983,4,97845,17141,57093.75,0.002819923
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,drop3,50,20,Train,1,402,247,402,0,100,38.05855162,50,61.75071361,66.66666667,61.69161338,81.41756549,1,0.115646554,62.25443819,4,93460,28219,57093.75,0.002841817
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,drop3,50,20,Test,1,78,55396,78,12,86.66666667,99.85939359,50,99.83802462,63.41463415,93.02946188,90.62448474,0.53797765,0.115646554,62.25443819,4,93460,28219,57093.75,0.002841817
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,drop3,50,30,Train,1,402,245,402,0,100,37.86707883,50,61.67778837,66.66666667,61.53623227,81.36012365,1,0.111632449,59.88251068,4,92565,24893,57093.75,0.00283306
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,drop3,50,30,Test,1,76,55599,76,14,84.44444444,99.86349349,50,99.83860845,62.80991736,91.83091651,89.07015916,0.546272177,0.111632449,59.88251068,4,92565,24893,57093.75,0.00283306
IS,projection,0.1,2,1,TRUE,4,1000,6,drop3,10,10,Train,1,376,3100,376,26,93.53233831,89.18296893,50,89.63383187,65.16464471,91.33176677,92.22752749,0.991883547,0.275985234,6.754642294,3452,1148,1,66.15730012,0.015347564
IS,projection,0.1,2,1,TRUE,4,1000,6,drop3,10,10,Test,1,73,56285,73,17,81.11111111,99.87047092,50,99.84056122,61.86440678,90.00336029,86.73891905,0.780618259,0.275985234,6.754642294,3452,1148,1,66.15730012,0.015347564
IS,projection,0.1,2,1,TRUE,4,1000,6,drop3,10,20,Train,1,388,3867,388,14,96.51741294,90.8813161,50,91.36783337,65.87436333,93.65697792,94.82658388,0.996910994,0.267762853,9.006386087,4174,1171,1,54.71370388,0.018697318
IS,projection,0.1,2,1,TRUE,4,1000,6,drop3,10,20,Test,1,76,56203,76,14,84.44444444,99.86495851,50,99.84033777,62.80991736,91.8315901,89.07059866,0.676619669,0.267762853,9.006386087,4174,1171,1,54.71370388,0.018697318
IS,projection,0.1,2,1,TRUE,4,1000,6,drop3,10,30,Train,1,388,4401,388,14,96.51741294,91.89809981,50,92.25582739,65.87436333,94.17943962,95.131619,0.995850393,0.253024975,8.981969821,4754,1340,1,48.0384939,0.021039956
IS,projection,0.1,2,1,TRUE,4,1000,6,drop3,10,30,Test,1,73,56232,73,17,81.11111111,99.87034899,50,99.84041138,61.86440678,90.00330535,86.73888248,0.699302438,0.253024975,8.981969821,4754,1340,1,48.0384939,0.021039956
IS,projection,0.1,2,1,TRUE,4,1000,6,drop3,25,10,Train,1,372,3915,372,30,92.53731343,91.32260322,50,91.42674344,64.92146597,91.92795199,92.17290037,0.994857236,0.263729588,8.336560093,4260,1305,1,53.60915493,0.018907499
IS,projection,0.1,2,1,TRUE,4,1000,6,drop3,25,10,Test,1,73,56042,73,17,81.11111111,99.86991001,50,99.8398719,61.86440678,90.00310754,86.73875078,0.597703602,0.263729588,8.336560093,4260,1305,1,53.60915493,0.018907499
IS,projection,0.1,2,1,TRUE,4,1000,6,drop3,25,20,Train,1,397,4898,397,5,98.75621891,92.50236072,50,92.94365456,66.38795987,95.57815328,96.88006145,0.998233827,0.263901994,3.517676808,5243,1525,1,43.55807744,0.023211823
IS,projection,0.1,2,1,TRUE,4,1000,6,drop3,25,20,Test,1,72,56304,72,18,80,99.87228608,50,99.84061205,61.53846154,89.38558545,85.96168582,0.827112932,0.263901994,3.517676808,5243,1525,1,43.55807744,0.023211823
IS,projection,0.1,2,1,TRUE,4,1000,6,drop3,25,30,Train,1,400,4003,400,2,99.50248756,90.91528503,50,91.63371488,66.55574043,95.11202352,96.9263268,0.999750312,0.264403333,4.734895865,4317,1249,1,52.90132036,0.019288451
IS,projection,0.1,2,1,TRUE,4,1000,6,drop3,25,30,Test,1,75,55921,75,15,83.33333333,99.86606186,50,99.83953215,62.5,91.22593832,88.29315189,0.575470757,0.264403333,4.734895865,4317,1249,1,52.90132036,0.019288451
IS,projection,0.1,2,1,TRUE,4,1000,6,drop3,50,10,Train,1,360,3846,360,42,89.55223881,91.44079886,50,91.27604167,64.17112299,90.49159218,90.11880682,0.991836334,0.259636035,5.064042278,4195,1203,1,54.4398093,0.018609743
IS,projection,0.1,2,1,TRUE,4,1000,6,drop3,50,10,Test,1,75,56301,75,15,83.33333333,99.86696467,50,99.84061205,62.5,91.22635066,88.29342273,0.823142685,0.259636035,5.064042278,4195,1203,1,54.4398093,0.018609743
IS,projection,0.1,2,1,TRUE,4,1000,6,drop3,50,20,Train,1,402,3748,402,0,100,90.31325301,50,91.16871705,66.66666667,95.03328523,97.0939759,1,0.272838949,3.650563404,4117,919,1,55.47121691,0.018171866
