instanceSelection,lshMEthod,sizeBucket,ands,ors,imbalance,neigh,subBuckets,distance,isMethod,trees,depth,type,k,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,AreaROC,timeLSH,timeIS,buckets,buckMax,buckMin,buckAvg,reduction
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,10,10,Train,1,342,227639,342,42,89.0625,99.8499875,50,99.83184814,64.04494382,94.30211828,92.29874625,0.997000789,0.291444029,0.39267672,4,100928,19862,57006.25,0.01825677
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,10,10,Test,1,81,56663,81,27,75,99.85725363,50,99.81003307,60,86.54070731,82.45717609,0.939979254,0.291444029,0.39267672,4,100928,19862,57006.25,0.01825677
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,10,10,Train,1,354,3785,354,24,93.65079365,91.44720947,50,91.6316139,65.19337017,92.54244293,92.9897184,0.996849567,0.291444029,0.39267672,4,100928,19862,57006.25,0.01825677
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,10,10,Test,1,92,56540,92,16,85.18518519,99.83754768,50,99.80965809,63.01369863,92.22082187,89.58089393,0.70339837,0.291444029,0.39267672,4,100928,19862,57006.25,0.01825677
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,10,20,Train,1,362,227639,362,22,94.27083333,99.84122877,50,99.83186286,65.34296029,97.01605969,95.94195196,0.99720443,0.058557537,0.280870482,4,100297,22909,57006.25,0.017818222
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,10,20,Test,1,79,56666,79,29,73.14814815,99.86078069,50,99.81003641,59.39849624,85.46713509,81.16193791,0.953767234,0.058557537,0.280870482,4,100297,22909,57006.25,0.017818222
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,10,20,Train,1,373,3684,373,5,98.67724868,90.8060143,50,91.47688839,66.37010676,94.65985239,96.31587836,0.997985411,0.058557537,0.280870482,4,100297,22909,57006.25,0.017818222
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,10,20,Test,1,91,56589,91,17,84.25925926,99.83944954,50,99.80981898,62.75862069,91.71912594,88.93331634,0.758372567,0.058557537,0.280870482,4,100297,22909,57006.25,0.017818222
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,10,30,Train,1,367,227639,367,17,95.57291667,99.83903932,50,99.83186654,65.6529517,97.68269133,96.85275346,0.997252636,0.055634416,0.293896682,4,94984,23979,57006.25,0.01844096
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,10,30,Test,1,80,56666,80,28,74.07407407,99.8590209,50,99.81003975,59.70149254,86.00560744,81.80955812,0.954298515,0.055634416,0.293896682,4,94984,23979,57006.25,0.01844096
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,10,30,Train,1,367,3832,367,5,98.65591398,91.25982377,50,91.86173704,66.36528029,94.8858331,96.43708692,0.997989754,0.055634416,0.293896682,4,94984,23979,57006.25,0.01844096
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,10,30,Test,1,90,56560,90,18,83.33333333,99.84112974,50,99.80971845,62.5,91.21455007,88.28567226,0.720429163,0.055634416,0.293896682,4,94984,23979,57006.25,0.01844096
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,25,10,Train,1,342,227639,342,42,89.0625,99.8499875,50,99.83184814,64.04494382,94.30211828,92.29874625,0.997000789,0.110943312,0.326163939,4,88844,26856,57006.25,0.017739283
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,25,10,Test,1,82,56664,82,26,75.92592593,99.85549642,50,99.81003975,60.29411765,87.07250441,83.10479707,0.945422857,0.110943312,0.326163939,4,88844,26856,57006.25,0.017739283
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,25,10,Train,1,354,3667,354,23,93.89920424,91.19621985,50,91.42792178,65.25345622,92.53784347,93.08830892,0.995475018,0.110943312,0.326163939,4,88844,26856,57006.25,0.017739283
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,25,10,Test,1,91,56596,91,17,84.25925926,99.83946937,50,99.80984242,62.75862069,91.71913505,88.93332229,0.769080627,0.110943312,0.326163939,4,88844,26856,57006.25,0.017739283
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,25,20,Train,1,376,227640,376,8,97.91666667,99.83509929,50,99.83187391,66.1971831,98.87123009,98.49219645,0.998656169,0.055684253,0.227276217,4,88307,28901,57006.25,0.018037496
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,25,20,Test,1,83,56664,83,25,76.85185185,99.85373676,50,99.81004309,60.58394161,87.60105356,83.75241732,0.946016058,0.055684253,0.227276217,4,88307,28901,57006.25,0.018037496
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,25,20,Train,1,373,3740,373,0,100,90.93119378,50,91.68524298,66.66666667,95.35784906,97.27935813,1,0.055684253,0.227276217,4,88307,28901,57006.25,0.018037496
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,25,20,Test,1,90,56564,90,18,83.33333333,99.84114096,50,99.80973186,62.5,91.2145552,88.28567562,0.724840939,0.055684253,0.227276217,4,88307,28901,57006.25,0.018037496
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,25,30,Train,1,378,227640,378,6,98.4375,99.83422361,50,99.83187538,66.31578947,99.13340197,98.85651708,0.99866756,0.073625661,0.314045962,4,84766,26461,57006.25,0.017778752
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,25,30,Test,1,83,56665,83,25,76.85185185,99.85373934,50,99.81004643,60.58394161,87.60105469,83.7524181,0.950866459,0.073625661,0.314045962,4,84766,26461,57006.25,0.017778752
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,25,30,Train,1,376,3676,376,2,99.47089947,90.72063179,50,91.46726862,66.54867257,94.99506747,96.84581917,0.999728113,0.073625661,0.314045962,4,84766,26461,57006.25,0.017778752
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,25,30,Test,1,92,56556,92,16,85.18518519,99.83759356,50,99.80971175,63.01369863,92.22084307,89.5809077,0.718906206,0.073625661,0.314045962,4,84766,26461,57006.25,0.017778752
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,50,10,Train,1,341,227639,341,43,88.80208333,99.85042548,50,99.8318474,63.97748593,94.16435527,92.11658598,0.996990118,0.049048777,0.271786766,4,98937,20750,57006.25,0.01789716
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,50,10,Test,1,82,56665,82,26,75.92592593,99.85549897,50,99.81004309,60.29411765,87.07250552,83.10479784,0.950320137,0.049048777,0.271786766,4,98937,20750,57006.25,0.01789716
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,50,10,Train,1,353,3707,353,21,94.38502674,91.30541872,50,91.56517817,65.37037037,92.83245331,93.46114433,0.997183476,0.049048777,0.271786766,4,98937,20750,57006.25,0.01789716
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,50,10,Test,1,91,56602,91,17,84.25925926,99.83948636,50,99.8098625,62.75862069,91.71914285,88.93332739,0.778990978,0.049048777,0.271786766,4,98937,20750,57006.25,0.01789716
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,50,20,Train,1,378,227640,378,6,98.4375,99.83422361,50,99.83187538,66.31578947,99.13340197,98.85651708,0.99866756,0.054191668,0.218280617,4,94093,22405,57006.25,0.018098893
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,50,20,Test,1,83,56664,83,25,76.85185185,99.85373676,50,99.81004309,60.58394161,87.60105356,83.75241732,0.946016058,0.054191668,0.218280617,4,94093,22405,57006.25,0.018098893
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,50,20,Train,1,377,3750,377,0,100,90.86503513,50,91.62966252,66.66666667,95.32315308,97.25951054,1,0.054191668,0.218280617,4,94093,22405,57006.25,0.018098893
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,50,20,Test,1,92,56585,92,16,85.18518519,99.83767666,50,99.80980893,63.01369863,92.22088145,89.58093263,0.754002306,0.054191668,0.218280617,4,94093,22405,57006.25,0.018098893
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,50,30,Train,1,380,227641,380,4,98.95833333,99.83334868,50,99.83187759,66.43356643,99.39487812,99.22083794,0.999991214,0.057345471,0.324258625,4,98714,18844,57006.25,0.017980485
NOIS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,50,30,Test,1,82,56666,82,26,75.92592593,99.85550152,50,99.81004643,60.29411765,87.07250663,83.1047986,0.955326246,0.057345471,0.324258625,4,98714,18844,57006.25,0.017980485
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,50,30,Train,1,377,3722,377,1,99.73544974,90.80263479,50,91.5568461,66.60777385,95.16428751,97.05560525,0.9998657,0.057345471,0.324258625,4,98714,18844,57006.25,0.017980485
IS,hyperplanes,0.1,2,1,TRUE,4,1000,6,entropy,50,30,Test,1,93,56567,93,15,86.11111111,99.83586304,50,99.80975197,63.26530612,92.71988511,90.22853669,0.732367449,0.057345471,0.324258625,4,98714,18844,57006.25,0.017980485
NOIS,projection,0.1,2,1,TRUE,4,1000,6,entropy,10,10,Train,1,342,227639,342,42,89.0625,99.8499875,50,99.83184814,64.04494382,94.30211828,92.29874625,0.997000789,0.100995249,0.237316725,4666,1168,1,48.86948135,0.038995724
NOIS,projection,0.1,2,1,TRUE,4,1000,6,entropy,10,10,Test,1,81,56665,81,27,75,99.85725866,50,99.81003975,60,86.54070949,82.4571776,0.949761871,0.100995249,0.237316725,4666,1168,1,48.86948135,0.038995724
IS,projection,0.1,2,1,TRUE,4,1000,6,entropy,10,10,Train,1,329,8524,329,37,89.89071038,96.28374562,50,96.02993817,64.2578125,93.03232929,91.80862095,0.994817889,0.100995249,0.237316725,4666,1168,1,48.86948135,0.038995724
IS,projection,0.1,2,1,TRUE,4,1000,6,entropy,10,10,Test,1,82,56661,82,26,75.92592593,99.85548878,50,99.81002973,60.29411765,87.07250108,83.10479478,0.931349618,0.100995249,0.237316725,4666,1168,1,48.86948135,0.038995724
NOIS,projection,0.1,2,1,TRUE,4,1000,6,entropy,10,20,Train,1,367,227637,367,17,95.57291667,99.83903791,50,99.83186507,65.6529517,97.68269064,96.85275304,0.994571827,0.127632257,0.198928349,3989,1530,1,57.16344949,0.04661331
NOIS,projection,0.1,2,1,TRUE,4,1000,6,entropy,10,20,Test,1,82,56664,82,26,75.92592593,99.85549642,50,99.81003975,60.29411765,87.07250441,83.10479707,0.945422857,0.127632257,0.198928349,3989,1530,1,57.16344949,0.04661331
IS,projection,0.1,2,1,TRUE,4,1000,6,entropy,10,20,Train,1,346,10264,346,17,95.31680441,96.73892554,50,96.69188007,65.59241706,96.02523233,95.74344075,0.996299669,0.127632257,0.198928349,3989,1530,1,57.16344949,0.04661331
IS,projection,0.1,2,1,TRUE,4,1000,6,entropy,10,20,Test,1,79,56664,79,29,73.14814815,99.86077578,50,99.81002973,59.39849624,85.46713299,81.16193644,0.943564461,0.127632257,0.198928349,3989,1530,1,57.16344949,0.04661331
NOIS,projection,0.1,2,1,TRUE,4,1000,6,entropy,10,30,Train,1,368,227638,368,16,95.83333333,99.83860074,50,99.83186654,65.71428571,97.81546863,97.03491355,0.995921732,0.10253287,0.274872978,4253,1176,1,53.61509523,0.053652012
NOIS,projection,0.1,2,1,TRUE,4,1000,6,entropy,10,30,Test,1,82,56667,82,26,75.92592593,99.85550406,50,99.81004977,60.29411765,87.07250774,83.10479937,0.960444852,0.10253287,0.274872978,4253,1176,1,53.61509523,0.053652012
IS,projection,0.1,2,1,TRUE,4,1000,6,entropy,10,30,Train,1,333,11880,333,21,94.06779661,97.2733972,50,97.18309859,65.29411765,95.65716985,95.02947679,0.999117721,0.10253287,0.274872978,4253,1176,1,53.61509523,0.053652012
IS,projection,0.1,2,1,TRUE,4,1000,6,entropy,10,30,Test,1,84,56657,84,24,77.77777778,99.8519589,50,99.81002304,60.86956522,88.1264062,84.40003211,0.915629873,0.10253287,0.274872978,4253,1176,1,53.61509523,0.053652012
NOIS,projection,0.1,2,1,TRUE,4,1000,6,entropy,25,10,Train,1,340,227638,340,44,88.54166667,99.8508628,50,99.83184593,63.90977444,94.02638891,91.93442551,0.995530196,0.106103498,0.19021666,4443,996,1,51.32230475,0.06047144
NOIS,projection,0.1,2,1,TRUE,4,1000,6,entropy,25,10,Test,1,83,56662,83,25,76.85185185,99.85373161,50,99.81003641,60.58394161,87.6010513,83.75241578,0.936621596,0.106103498,0.19021666,4443,996,1,51.32230475,0.06047144
IS,projection,0.1,2,1,TRUE,4,1000,6,entropy,25,10,Train,1,315,13437,315,35,90,97.70942408,50,97.51808254,64.28571429,93.77552009,92.31282723,0.995546435,0.106103498,0.19021666,4443,996,1,51.32230475,0.06047144
IS,projection,0.1,2,1,TRUE,4,1000,6,entropy,25,10,Test,1,84,56655,84,24,77.77777778,99.85195368,50,99.81001636,60.86956522,88.1264039,84.40003055,0.907555272,0.106103498,0.19021666,4443,996,1,51.32230475,0.06047144
NOIS,projection,0.1,2,1,TRUE,4,1000,6,entropy,25,20,Train,1,376,227640,376,8,97.91666667,99.83509929,50,99.83187391,66.1971831,98.87123009,98.49219645,0.998656169,0.119851506,0.189486886,4136,1155,1,55.13176983,0.041666484
NOIS,projection,0.1,2,1,TRUE,4,1000,6,entropy,25,20,Test,1,80,56664,80,28,74.07407407,99.85901593,50,99.81003307,59.70149254,86.0056053,81.80955663,0.944197496,0.119851506,0.189486886,4136,1155,1,55.13176983,0.041666484
