instanceSelection,lshMEthod,sizeBucket,ands,ors,imbalance,neigh,subBuckets,distance,isMethod,trees,depth,type,k,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,AreaROC,timeLSH,timeIS,buckets,buckMax,buckMin,buckAvg,reduction
IS,hyperplanes,0.1,2,1,false,4,1000,6,drop3,10,10,Train,1,0.0,2243.0,0.0,0.0,NaN,100.0,NaN,100.0,NaN,NaN,NaN,0.0,4.7796411185666665,886.3519050921833,4.0,1937648.0,204579.0,1005683.75,5.575808498446952E-4
IS,hyperplanes,0.1,2,1,false,4,1000,6,drop3,10,10,Test,1,0.0,1003397.0,0.0,916.0,0.0,100.0,NaN,99.90879337417718,NaN,0.0,30.000000000000004,0.0,4.7796411185666665,886.3519050921833,4.0,1937648.0,204579.0,1005683.75,5.575808498446952E-4
IS,hyperplanes,0.1,2,1,false,4,1000,6,drop3,10,20,Train,1,2.0,2199.0,2.0,1.0,66.66666666666666,99.90913221263062,50.0,99.8638838475499,57.14285714285714,81.61255304287064,76.63940633045584,0.9997727272727273,4.91819296345,969.0485618107167,4.0,1979487.0,159995.0,1005683.75,5.473887790272042E-4
IS,hyperplanes,0.1,2,1,false,4,1000,6,drop3,10,20,Test,1,34.0,1003390.0,34.0,882.0,3.711790393013101,99.99661160187517,50.0,99.90879582611466,6.910569105691057,19.26568094508218,32.59723675567173,0.9141950222794563,4.91819296345,969.0485618107167,4.0,1979487.0,159995.0,1005683.75,5.473887790272042E-4
IS,hyperplanes,0.1,2,1,false,4,1000,6,drop3,10,30,Train,1,8.0,2219.0,8.0,0.0,100.0,99.64077233947015,50.0,99.6420581655481,66.66666666666667,99.82022457371559,99.89223170184104,1.0,4.533389246833333,1002.2561091727,4.0,2021365.0,180792.0,1005683.75,5.536034563549426E-4
IS,hyperplanes,0.1,2,1,false,4,1000,6,drop3,10,30,Test,1,28.0,1003364.0,28.0,888.0,3.056768558951965,99.99720946549304,50.0,99.90879292010021,5.761316872427984,17.483372840417633,32.13890083091429,0.7290660766159994,4.533389246833333,1002.2561091727,4.0,2021365.0,180792.0,1005683.75,5.536034563549426E-4
IS,hyperplanes,0.1,2,1,false,4,1000,6,drop3,25,10,Train,1,8.0,2224.0,8.0,0.0,100.0,99.6415770609319,50.0,99.64285714285714,66.66666666666667,99.82062765828107,99.89247311827957,1.0,4.529041645283334,953.4431932338666,4.0,2004051.0,153708.0,1005683.75,5.548463918204903E-4
IS,hyperplanes,0.1,2,1,false,4,1000,6,drop3,25,10,Test,1,19.0,1003396.0,19.0,897.0,2.074235807860262,99.99810646641718,50.0,99.90879500881682,3.9832285115303985,14.402071141015286,31.451397005427342,0.9745534171800461,4.529041645283334,953.4431932338666,4.0,2004051.0,153708.0,1005683.75,5.548463918204903E-4
IS,hyperplanes,0.1,2,1,false,4,1000,6,drop3,25,20,Train,1,7.0,2219.0,7.0,0.0,100.0,99.68553459119497,50.0,99.68652037617555,66.66666666666667,99.84264349024167,99.90566037735849,1.0,4.76249387975,990.1035550695333,4.0,2004851.0,127660.0,1005683.75,5.53354869261833E-4
IS,hyperplanes,0.1,2,1,false,4,1000,6,drop3,25,20,Test,1,44.0,1003386.0,44.0,872.0,4.8034934497816595,99.9956150404114,50.0,99.90879637097176,8.764940239043824,21.916392993681796,33.361129926970584,0.8995658486165905,4.76249387975,990.1035550695333,4.0,2004851.0,127660.0,1005683.75,5.53354869261833E-4
IS,hyperplanes,0.1,2,1,false,4,1000,6,drop3,25,30,Train,1,17.0,2319.0,17.0,0.0,100.0,99.2722602739726,50.0,99.27751806204846,66.66666666666667,99.63546571074609,99.78167808219179,1.0,4.419123349833334,950.6812323362833,4.0,1955843.0,180634.0,1005683.75,5.806994495038823E-4
IS,hyperplanes,0.1,2,1,false,4,1000,6,drop3,25,30,Test,1,135.0,1003381.0,135.0,781.0,14.737991266375547,99.98654729969428,50.0,99.9088041798748,22.76559865092749,38.387509177568944,40.312558076371175,0.946630986074369,4.419123349833334,950.6812323362833,4.0,1955843.0,180634.0,1005683.75,5.806994495038823E-4
