instanceSelection,lshMEthod,sizeBucket,ands,ors,imbalance,neigh,subBuckets,distance,isMethod,trees,depth,type,k,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,AreaROC,timeLSH,timeIS,buckets,buckMax,buckMin,buckAvg,reduction
IS,hyperplanes,0.1,10,1,false,5,1000,6,entropy,10,10,Train,2,293.0,1643231.0,293.0,1008.0,22.521137586471944,99.98217245382483,50.0,99.92090343957564,31.054583995760463,47.45221029653892,45.75944804667781,0.9979927949465182,2.3971158374333332,1.071250616,1024.0,2100150.0,2.0,5072.3828125,0.31661436393460296
IS,hyperplanes,0.1,10,1,false,5,1000,6,entropy,10,10,Test,2,179.0,1297937.0,179.0,786.0,18.549222797927463,99.9862107854768,50.0,99.92571671820309,27.059712773998495,43.06583913707414,42.98031919419226,0.9658432283898618,2.3971158374333332,1.071250616,1024.0,2100150.0,2.0,5072.3828125,0.31661436393460296
IS,hyperplanes,0.1,10,1,false,5,1000,6,entropy,10,20,Train,2,1087.0,1200259.0,1087.0,232.0,82.4109173616376,99.90951815713375,50.0,99.89032689901178,62.238763240767256,90.73937978897906,87.66049760028645,0.999903372869934,2.3785728917333335,0.83669649955,1023.0,2147135.0,1.0,5077.341153470185,0.23133427799126705
IS,hyperplanes,0.1,10,1,false,5,1000,6,entropy,10,20,Test,2,399.0,1297935.0,399.0,566.0,41.347150259067355,99.969268308463,50.0,99.92572918165872,45.26375496313103,64.29186852191371,58.93378567388605,0.9816661143575709,2.3785728917333335,0.83669649955,1023.0,2147135.0,1.0,5077.341153470185,0.23133427799126705
IS,hyperplanes,0.1,10,1,false,5,1000,6,entropy,10,30,Train,2,1274.0,1654702.0,1274.0,174.0,87.98342541436463,99.92306651787224,50.0,99.91263551149252,63.76376376376376,93.76339195096244,91.56531774541692,0.9983824828583292,2.46058963105,1.0183300836166667,1024.0,2144651.0,1.0,5072.3828125,0.31885170153943304
IS,hyperplanes,0.1,10,1,false,5,1000,6,entropy,10,30,Test,2,397.0,1297925.0,397.0,568.0,41.13989637305699,99.9694220694096,50.0,99.92572849570573,45.139283683911316,64.13058291026137,58.78875408196278,0.9701604318397197,2.46058963105,1.0183300836166667,1024.0,2144651.0,1.0,5072.3828125,0.31885170153943304
IS,hyperplanes,0.1,10,1,false,5,1000,6,entropy,25,10,Train,2,312.0,1678442.0,312.0,951.0,24.70308788598575,99.98141478739589,50.0,99.92482218929928,33.068362480127185,49.697582199320685,47.2865859564088,0.9981194178957962,2.3366628807833334,0.8143466860333334,1024.0,2170332.0,2.0,5072.3828125,0.32338605962126404
IS,hyperplanes,0.1,10,1,false,5,1000,6,entropy,25,10,Test,2,183.0,1297946.0,183.0,782.0,18.963730569948186,99.98590278778148,50.0,99.92571746155397,27.498121712997747,43.544296081812135,43.27038223529818,0.9890037490240965,2.3366628807833334,0.8143466860333334,1024.0,2170332.0,2.0,5072.3828125,0.32338605962126404
IS,hyperplanes,0.1,10,1,false,5,1000,6,entropy,25,20,Train,2,1196.0,1666570.0,1196.0,235.0,83.57791754018169,99.9282873016958,50.0,99.9142701550506,62.568663353387386,91.38817295488907,88.48302846863592,0.9986784633155682,2.1935622437333335,0.8417014301333333,1023.0,2157541.0,1.0,5077.341153470185,0.3211331274595119
IS,hyperplanes,0.1,10,1,false,5,1000,6,entropy,25,20,Test,2,401.0,1297939.0,401.0,564.0,41.554404145077726,99.9691144076282,50.0,99.92572952463048,45.38766270514997,64.45274999656799,59.07881722384287,0.9864333122767233,2.1935622437333335,0.8417014301333333,1023.0,2157541.0,1.0,5077.341153470185,0.3211331274595119
IS,hyperplanes,0.1,10,1,false,5,1000,6,entropy,25,30,Train,2,1231.0,1691180.0,1231.0,67.0,94.83821263482281,99.9272635311399,50.0,99.92336345853981,65.47872340425532,97.34948929903136,96.36492790371793,0.9999801921304221,2.3222586861166667,1.02149794345,1023.0,2154825.0,1.0,5077.341153470185,0.3258449939547026
IS,hyperplanes,0.1,10,1,false,5,1000,6,entropy,10,10,Train,3,295.0,1643232.0,295.0,1079.0,21.470160116448326,99.98205079685334,50.0,99.91646913704837,30.040733197556012,46.331745481681466,45.02372732056983,0.9979827098615377,2.2506096004,1.1889285135,1024.0,2087135.0,1.0,5072.654296875,0.3166116651053693
IS,hyperplanes,0.1,10,1,false,5,1000,6,entropy,10,10,Test,3,187.0,1297711.0,187.0,737.0,20.238095238095237,99.98559208813019,50.0,99.92885861188061,28.813559322033896,44.983529598253185,44.162344293105726,0.9944251943565738,2.2506096004,1.1889285135,1024.0,2087135.0,1.0,5072.654296875,0.3166116651053693
IS,hyperplanes,0.1,10,1,false,5,1000,6,entropy,10,20,Train,3,1181.0,1663960.0,1181.0,255.0,82.24233983286908,99.92907507532395,50.0,99.9138353643426,62.19062664560295,90.6553967038316,87.54836040560554,0.9982356235896421,2.9502960360333335,1.1596474818166667,1023.0,2168090.0,5.0,5077.612903225807,0.32061463137788054
IS,hyperplanes,0.1,10,1,false,5,1000,6,entropy,10,20,Test,3,400.0,1297696.0,400.0,524.0,43.290043290043286,99.96918563804218,50.0,99.92886945543563,46.403712296983755,65.78503153409002,60.293785994442956,0.9794144921618743,2.9502960360333335,1.1596474818166667,1023.0,2168090.0,5.0,5077.612903225807,0.32061463137788054
IS,hyperplanes,0.1,10,1,false,5,1000,6,entropy,10,30,Train,3,1230.0,1663373.0,1230.0,159.0,88.55291576673866,99.92610850755406,50.0,99.91662625030612,63.91270459859704,94.06778550368571,91.96487358898328,0.9983314645738379,2.3173967732166667,1.1855107735833332,1024.0,2092919.0,1.0,5072.654296875,0.3204925768106333
IS,hyperplanes,0.1,10,1,false,5,1000,6,entropy,10,30,Test,3,392.0,1297699.0,392.0,532.0,42.42424242424242,99.96980180896409,50.0,99.92886918164918,45.90163934426229,65.1240593563313,59.68791023965892,0.9825537264913192,2.3173967732166667,1.1855107735833332,1024.0,2092919.0,1.0,5072.654296875,0.3204925768106333
IS,hyperplanes,0.1,10,1,false,5,1000,6,entropy,25,10,Train,3,444.0,1665115.0,444.0,980.0,31.179775280898873,99.97334228328147,50.0,99.91457621343469,38.4083044982699,55.83141003479226,51.81784538161365,0.9974637466570315,2.461018176716667,1.0587326740166667,1022.0,2182518.0,2.0,5082.58121330724,0.32083429109590755
IS,hyperplanes,0.1,10,1,false,5,1000,6,entropy,25,10,Test,3,249.0,1297709.0,249.0,675.0,26.948051948051948,99.98081602024102,50.0,99.92886189815549,35.0210970464135,51.90653353790907,48.857881169708676,0.9918349231519028,2.461018176716667,1.0587326740166667,1022.0,2182518.0,2.0,5082.58121330724,0.32083429109590755
IS,hyperplanes,0.1,10,1,false,5,1000,6,entropy,25,20,Train,3,1102.0,1650183.0,1102.0,236.0,82.36173393124065,99.93326409432653,50.0,99.91903779627901,62.22473178994918,90.7230781456258,87.63319298016641,0.9999285030043885,2.5533864733,1.0545840755666667,1024.0,2107675.0,3.0,5072.654296875,0.31794271443967137
IS,hyperplanes,0.1,10,1,false,5,1000,6,entropy,25,20,Test,3,410.0,1297701.0,410.0,514.0,44.37229437229438,99.96841564396264,50.0,99.92887027678238,47.01834862385321,66.60201173302342,61.05113075379486,0.9855840263936594,2.5533864733,1.0545840755666667,1024.0,2107675.0,3.0,5072.654296875,0.31794271443967137
IS,hyperplanes,0.1,10,1,false,5,1000,6,entropy,25,30,Train,3,1265.0,1657170.0,1265.0,54.0,95.90598938589841,99.9237232692267,50.0,99.92053039185325,65.73135879449208,97.89424673216453,97.1113095508969,0.9988007423946283,2.8786055688166665,1.0773016118666667,1023.0,2135528.0,2.0,5077.612903225807,0.31928473713412026
