instanceSelection,lshMEthod,sizeBucket,ands,ors,imbalance,neigh,subBuckets,distance,isMethod,trees,depth,type,k,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,AreaROC,timeLSH,timeIS,buckets,buckMax,buckMin,buckAvg,reduction
NOIS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,10,10,Train,1,1273317.0,1905109.0,1273317.0,557679.0,69.5423146746361,59.938755849593484,50.0,63.44895678583278,58.17380637468219,64.56221666345274,66.66124702712331,0.8006528298943347,0.8711415784666666,1.1857549131666667,4.0,1851013.0,347828.0,1000269.75,0.0701710713535024
NOIS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,10,10,Test,1,317129.0,475241.0,317129.0,139702.0,69.41932574628254,59.97715713618638,50.0,63.43014454839534,58.13072994045399,64.52576081359209,66.58667516325369,0.7993626545418266,0.8711415784666666,1.1857549131666667,4.0,1851013.0,347828.0,1000269.75,0.0701710713535024
IS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,10,10,Train,1,127608.0,96285.0,127608.0,31871.0,80.01555063676096,43.00491752756897,50.0,58.400978683889285,61.54306176828754,58.66056730084465,68.91236070400336,0.7937572047271172,0.8711415784666666,1.1857549131666667,4.0,1851013.0,347828.0,1000269.75,0.0701710713535024
IS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,10,10,Test,1,317976.0,473474.0,317976.0,138855.0,69.60473347912028,59.82361488407354,50.0,63.403192069734295,58.19563444892536,64.5291156747361,66.67039790060626,0.7978726018811754,0.8711415784666666,1.1857549131666667,4.0,1851013.0,347828.0,1000269.75,0.0701710713535024
NOIS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,10,20,Train,1,1398624.0,1991012.0,1398624.0,432372.0,76.38596698190493,58.73822439931603,50.0,64.92769457797448,60.43864584494681,66.98340144798468,71.09164420712825,0.8540408568031737,0.8791971824833333,1.1266575025666667,4.0,2065453.0,209656.0,1000269.75,0.0701710713535024
NOIS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,10,20,Test,1,324943.0,471789.0,324943.0,131888.0,71.12980511392615,59.21552040083742,50.0,63.55739599844603,58.72196776592389,64.89983378893419,67.55551969999954,0.8018291041053567,0.8791971824833333,1.1266575025666667,4.0,2065453.0,209656.0,1000269.75,0.0701710713535024
IS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,10,20,Train,1,154924.0,104453.0,154924.0,12658.0,92.44668281796375,40.270725623320494,50.0,60.74986122789308,64.89914751900804,61.015530797890754,76.79389565957078,0.9192995905706988,0.8791971824833333,1.1266575025666667,4.0,2065453.0,209656.0,1000269.75,0.0701710713535024
IS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,10,20,Test,1,325000.0,457625.0,325000.0,131831.0,71.14228237575821,58.47308736623542,50.0,63.14262063356828,58.72621926924707,64.49735570386666,67.34152387290138,0.7850350241963243,0.8791971824833333,1.1266575025666667,4.0,2065453.0,209656.0,1000269.75,0.0701710713535024
NOIS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,10,10,Train,1,1271860.0,1906353.0,1271860.0,559136.0,69.46274049752157,59.98191436508503,50.0,63.447402573939314,58.145945931118725,64.54849457645362,66.6184926577906,0.8007349532777992,1.6118245632166666,1.8951285820166666,4.0,2007900.0,233007.0,1000269.75,0.0701710713535024
NOIS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,10,10,Test,1,316823.0,475688.0,316823.0,140008.0,69.35234255118414,60.02288927219938,50.0,63.43427180067588,58.10723197279723,64.51920627005083,66.55350656748871,0.7996652433029953,1.6118245632166666,1.8951285820166666,4.0,2007900.0,233007.0,1000269.75,0.0701710713535024
