lshMEthod,ands,imbalance,isMethod,database,one_class_method,level_6,trees,depth,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,balancedAcc,mcc,AreaROC,timeIS,timeLSH,model_complexity,Total Time,Reduction of DataSet(%),reduction,k,type,db/IS_Method,% of samples
DPF,2,True,drop3,credit_card,drop3-boundaries,0,25,20,387.0,19374.0,387.0,2.0,99.48586118251929,98.04159708516777,50.0,98.0694789081886,66.55202063628546,98.7610890873905,99.05258195331382,98.76372913384353,0.6982382279916435,0.998659729966714,1.6691427849833331,0.0347361235833333,500,1.7038789085666664,91.32313041645813,0.0867686958354187,1,train,"credit_card/
drop3-boundaries",8.67686958354187
DPF,2,True,drop3,credit_card,drop3-boundaries,1,25,20,391.0,21325.0,391.0,1.0,99.74489795918367,98.19948425124332,50.0,98.22688619504252,66.6098807495741,98.96917467719294,99.28127384680157,98.9721911052135,0.6997685216094627,0.999976554440589,3.271166570116667,0.0306962345833333,500,3.3018628047000003,90.47767293391328,0.0952232706608671,2,train,"credit_card/
drop3-boundaries",9.52232706608671
DPF,2,True,drop3,credit_card,drop3-boundaries,2,25,20,393.0,19621.0,393.0,3.0,99.24242424242424,98.03637453782352,50.0,98.05977462028416,66.497461928934,98.63755609843484,98.88060933104401,98.63939939012388,0.6973128995504522,0.9999235629841012,3.8661396347166663,0.0311114781333333,500,3.89725111285,91.22638614946308,0.0877361385053692,3,train,"credit_card/
drop3-boundaries",8.77361385053692
DPF,2,True,drop3,credit_card,drop3-boundaries,3,25,20,395.0,15801.0,395.0,4.0,98.99749373433583,97.561126204001,50.0,97.59566134377825,66.44238856181666,98.2766858420416,98.56658347523538,98.27930996916842,0.6946572714822237,0.9998734577665296,1.372182598366667,0.0302262735333333,500,1.4024088719000003,92.88768691773424,0.0711231308226575,4,train,"credit_card/
drop3-boundaries",7.11231308226575
DPF,2,True,drop3,credit_card,drop3-boundaries,4,25,20,388.0,19140.0,388.0,4.0,98.9795918367347,98.01310938140108,50.0,98.03212851405624,66.43835616438356,98.49516516672436,98.68964710013461,98.49635060906789,0.6962476907493182,0.9998955286251566,1.8372099267166664,0.0330640566666666,500,1.870273983383333,91.41307119430938,0.0858692880569062,5,train,"credit_card/
drop3-boundaries",8.58692880569062
DPF,2,True,drop3,credit_card,drop3-boundaries,5,25,20,82.0,56901.0,82.0,21.0,79.6116504854369,99.8560974325676,50.0,99.81957047262026,61.423220973782776,89.16113911139374,85.6849845695761,89.73387395900224,0.6301155151929846,0.8829931071441589,1.6691427849833331,0.0347361235833333,500,1.7038789085666664,91.32313041645813,0.0867686958354187,1,test,"credit_card/
drop3-boundaries",8.67686958354187
DPF,2,True,drop3,credit_card,drop3-boundaries,6,25,20,78.0,56628.0,78.0,22.0,78.0,99.86244841815682,50.0,99.823962257508,60.9375,88.25684662742167,84.55873452544704,88.93122420907841,0.6237065525151433,0.919160663952396,3.271166570116667,0.0306962345833333,500,3.3018628047000003,90.47767293391328,0.0952232706608671,2,test,"credit_card/
drop3-boundaries",9.52232706608671
DPF,2,True,drop3,credit_card,drop3-boundaries,7,25,20,82.0,56515.0,82.0,14.0,85.41666666666666,99.85511599554748,50.0,99.83066692536995,63.07692307692308,92.35416156272014,89.74820146533091,92.63589133110708,0.6527999148237323,0.8201886697535777,3.8661396347166663,0.0311114781333333,500,3.89725111285,91.22638614946308,0.0877361385053692,3,test,"credit_card/
drop3-boundaries",8.77361385053692
DPF,2,True,drop3,credit_card,drop3-boundaries,8,25,20,75.0,56909.0,75.0,18.0,80.64516129032258,99.86838410781974,50.0,99.83706221420186,61.7283950617284,89.7435342750608,86.41212813557172,90.25677269907115,0.634281599645808,0.8536154876934412,1.372182598366667,0.0302262735333333,500,1.4024088719000003,92.88768691773424,0.0711231308226575,4,test,"credit_card/
drop3-boundaries",7.11231308226575
DPF,2,True,drop3,credit_card,drop3-boundaries,9,25,20,83.0,57232.0,83.0,17.0,83.0,99.8551862514176,50.0,99.82582948706784,62.40601503759399,91.03834609035724,88.05655587542527,91.4275931257088,0.643451547586937,0.9321431924575102,1.8372099267166664,0.0330640566666666,500,1.870273983383333,91.41307119430938,0.0858692880569062,5,test,"credit_card/
drop3-boundaries",8.58692880569062
DPF,2,True,drop3,credit_card,drop3-one,0,50,20,388.0,6214.0,388.0,1.0,99.74293059,94.12299303,50.0,94.43570305,66.60944206,96.89222446,98.05694932200001,96.93296181,0.684966120961874,0.999919549,2.363155534,0.023271415,1000,2.386426949,97.10112480000001,0.028988752,1,train,"credit_card/
drop3-one",2.8988752
DPF,2,True,drop3,credit_card,drop3-one,1,50,20,391.0,4563.0,391.0,1.0,99.74489796,92.10738797,50.0,92.66741489,66.60988075,95.8501018,97.453644963,95.926142965,0.6775397964174722,0.999890447,4.216900948,0.025194157,1000,4.242095105,97.8273642,0.021726358,2,train,"credit_card/
drop3-one",2.1726358
DPF,2,True,drop3,credit_card,drop3-one,2,50,20,393.0,4560.0,393.0,3.0,99.24242424,92.0654149,50.0,92.59674706,66.49746193,95.5865836,97.08932143799998,95.65391957,0.6752324645543543,0.999671269,1.749831409,0.024811375,1000,1.774642784,97.8277449,0.021722551,3,train,"credit_card/
drop3-one",2.1722551
DPF,2,True,drop3,credit_card,drop3-one,3,50,20,399.0,5745.0,399.0,0.0,100.0,93.50585938,50.0,93.90187987,66.66666667,96.69842779,98.051757814,96.75292969,0.6837611402200333,1.0,2.164034213,0.025996136,1000,2.1900303489999997,97.30258939999999,0.026974106,4,train,"credit_card/
drop3-one",2.6974106
