database,level_1,trees,depth,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,AreaROC,balancedAcc,mcc,k,type,model_complexity,ands
credit_card,0,50,30,380.0,227641.0,380.0,4.0,98.95833333,99.83334868,50.0,99.83187759,66.43356643,99.39487812,99.22083793499999,0.999991214,99.395841005,0.7028093988973806,1,train,1500,2
credit_card,1,50,30,381.0,227640.0,381.0,3.0,99.21875,99.83291013,50.0,99.83187759,66.4921466,99.52535633,99.402998039,0.99868451,99.52583006500001,0.7037366319023083,1,train,1500,2
credit_card,2,50,30,383.0,227640.0,383.0,1.0,99.73958333,99.83203449,50.0,99.83187906,66.60869565,99.7857982,99.76731867799998,0.99869572,99.78580891,0.7055874963758642,1,train,1500,2
credit_card,3,50,30,381.0,227640.0,381.0,3.0,99.21875,99.83291013,50.0,99.83187759,66.4921466,99.52535633,99.402998039,0.99868451,99.52583006500001,0.7037366319023083,1,train,1500,2
credit_card,4,50,30,383.0,227640.0,383.0,1.0,99.73958333,99.83203449,50.0,99.83187906,66.60869565,99.7857982,99.76731867799998,0.99869572,99.78580891,0.7055874963758642,1,train,1500,2
credit_card,5,50,30,393.0,227624.0,393.0,5.0,98.74371859,99.82764443,50.0,99.82575575,66.38513514,99.28420232,99.06889634199999,0.998719982,99.28568151,0.7020221957718706,2,train,1500,2
credit_card,6,50,30,394.0,227623.0,394.0,4.0,98.99497487,99.82720587,50.0,99.82575575,66.44182125,99.41021948,99.24464416999999,0.997465961,99.41109037,0.702917874341481,2,train,1500,2
credit_card,7,50,30,394.0,227624.0,394.0,4.0,98.99497487,99.82720662,50.0,99.82575651,66.44182125,99.41021985,99.244644395,0.998725391,99.411090745,0.7029178770908792,2,train,1500,2
credit_card,8,50,30,396.0,227624.0,396.0,2.0,99.49748744,99.82633102,50.0,99.82575804,66.55462185,99.6617736,99.596140514,0.998736161,99.66190922999999,0.7047058715329528,2,train,1500,2
credit_card,9,50,30,393.0,227624.0,393.0,5.0,98.74371859,99.82764443,50.0,99.82575575,66.38513514,99.28420232,99.06889634199999,0.998719982,99.28568151,0.7020221957718706,2,train,1500,2
credit_card,10,50,30,391.0,227687.0,391.0,3.0,99.23857868,99.82856742,50.0,99.82754998,66.49659864,99.5331359,99.415575302,0.998717902,99.53357305,0.7037916436008883,3,train,1500,2
credit_card,11,50,30,392.0,227686.0,392.0,2.0,99.49238579,99.82812897,50.0,99.82754998,66.55348048,99.660116,99.59310874399999,0.997457537,99.66025737999999,0.7046941531876036,3,train,1500,2
credit_card,12,50,30,393.0,227686.0,393.0,1.0,99.74619289,99.82769128,50.0,99.82755074,66.61016949,99.78693377,99.770642407,0.997466158,99.78694208499999,0.7055955269130804,3,train,1500,2
credit_card,13,50,30,393.0,227687.0,393.0,1.0,99.74619289,99.82769204,50.0,99.82755149,66.61016949,99.78693415,99.770642635,0.998728768,99.78694246500001,0.7055955296033954,3,train,1500,2
credit_card,14,50,30,392.0,227687.0,392.0,2.0,99.49238579,99.82812973,50.0,99.82755074,66.55348048,99.66011637,99.593108972,0.998723343,99.66025776000001,0.7046941558880989,3,train,1500,2
credit_card,15,50,30,399.0,227112.0,399.0,1.0,99.75,99.82462386,50.0,99.82449289,66.61101836,99.78730496,99.77238715799999,0.999997798,99.78731193,0.7055981398479744,4,train,1500,2
credit_card,16,50,30,395.0,227111.0,395.0,5.0,98.75,99.82637821,50.0,99.82448904,66.38655462,99.28673047,99.07291346299999,0.998726366,99.288189105,0.7020400196985247,4,train,1500,2
credit_card,17,50,30,396.0,227111.0,396.0,4.0,99.0,99.82593942,50.0,99.82448981,66.44295302,99.41211195,99.247781826,0.998731748,99.41296971,0.7029312140341358,4,train,1500,2
credit_card,18,50,30,395.0,227112.0,395.0,5.0,98.75,99.82637897,50.0,99.82448981,66.38655462,99.28673085,99.072913691,0.999988992,99.288189485,0.702040022484072,4,train,1500,2
credit_card,19,50,30,394.0,227112.0,394.0,6.0,98.5,99.82681775,50.0,99.82448904,66.32996633,99.16118973,98.89804532499998,0.999986791,99.163408875,0.7011477111186782,4,train,1500,2
credit_card,20,50,30,389.0,227192.0,389.0,3.0,99.23469388,99.82907185,50.0,99.82804981,66.4957265,99.53143918,99.413007271,0.997435853,99.531882865,0.703779615882521,5,train,1500,2
credit_card,21,50,30,387.0,227192.0,387.0,5.0,98.7244898,99.82994916,50.0,99.8280483,66.38078902,99.27568079,99.056127608,0.997418302,99.27721948,0.7019618975263082,5,train,1500,2
credit_card,22,50,30,389.0,227192.0,389.0,3.0,99.23469388,99.82907185,50.0,99.82804981,66.4957265,99.53143918,99.413007271,0.997435853,99.531882865,0.703779615882521,5,train,1500,2
credit_card,23,50,30,391.0,227192.0,391.0,1.0,99.74489796,99.82819455,50.0,99.82805132,66.60988075,99.78653756,99.769886937,0.99745327,99.786546255,0.7055927152305272,5,train,1500,2
credit_card,24,50,30,390.0,227192.0,390.0,2.0,99.48979592,99.8286332,50.0,99.82805057,66.55290102,99.65907055,99.591447104,0.997444578,99.65921456000001,0.7046867407020064,5,train,1500,2
credit_card,25,50,30,82.0,56666.0,82.0,26.0,75.92592593,99.85550152,50.0,99.81004643,60.29411765,87.07250663,83.10479860699999,0.955326246,87.89071372500001,0.6152719638998722,1,test,1500,2
