tipo,tp,fn,tn,fp,TPR,SPC,PPV,ACC,F1,MGEO,PEXC,MCC,areaRoc,trees,impurity,depth,bins
test,335,845,1622676,45,28.38983051,99.99722688,88.15789474,99.9451937,42.94871795,53.28136937,0.283870574,0.500106563,0.641935287,2,gini,10,32
train,1162,2373,4865536,63,32.87128713,99.9987052,94.85714286,99.94997057,48.82352941,57.33311566,0.328699923,0.558242888,0.641935287,2,gini,10,32
test,385,782,1623393,59,32.99057412,99.99636577,86.71171171,99.94823402,47.79639975,57.43637799,0.329869399,0.534674273,0.664934699,2,gini,10,64
train,1285,2263,4864788,80,36.21758737,99.99835556,94.13919414,99.95187346,52.31019744,60.18055483,0.362159429,0.583751298,0.664934699,2,gini,10,64
test,351,779,1623596,51,31.0619469,99.99685892,87.31343284,99.94891607,45.82245431,55.73237051,0.310588058,0.520611321,0.655294029,2,gini,10,128
train,1163,2422,4864583,90,32.44072524,99.99814993,92.81723863,99.94840043,48.07771807,56.95623326,0.324388752,0.548568368,0.655294029,2,gini,10,128
test,514,657,1622463,119,43.8941076,99.99266601,81.20063191,99.95220948,56.98447894,66.2501988,0.438867736,0.596812979,0.719433868,2,gini,20,32
train,2385,1159,4865632,106,67.29683973,99.9978215,95.74468085,99.97402081,79.03893952,82.03375748,0.672946612,0.802589763,0.719433868,2,gini,20,32
test,506,689,1620695,131,42.34309623,99.9919177,79.43485086,99.94944578,55.24017467,65.06894339,0.423350139,0.57974792,0.71167507,2,gini,20,64
train,2377,1143,4867395,99,67.52840909,99.9979661,96.00161551,99.97450223,79.28619079,82.17483534,0.675263752,0.805050046,0.71167507,2,gini,20,64
test,469,670,1621017,128,41.17647059,99.99210435,78.55946399,99.95081009,54.03225806,64.16636147,0.411685749,0.568549057,0.705842875,2,gini,20,128
train,2388,1188,4867042,133,66.77852349,99.99726741,94.72431575,99.97287893,78.33360669,81.7170109,0.667757909,0.795214535,0.705842875,2,gini,20,128
test,473,695,1621718,30,40.49657534,99.99815014,94.03578529,99.95532732,56.6128067,63.63633099,0.404947255,0.616945591,0.702473627,2,gini,30,32
train,2456,1091,4866546,26,69.24161263,99.99946574,98.9524577,99.97706422,81.47288107,83.21132297,0.692410784,0.827648655,0.702473627,2,gini,30,32
test,502,673,1623619,41,42.72340426,99.99747484,92.44935543,99.95605708,58.44004657,65.36231745,0.427208791,0.628311043,0.713604395,2,gini,30,64
train,2448,1092,4864622,38,69.15254237,99.99921886,98.47144006,99.97678814,81.24792566,83.15768286,0.691517612,0.8251013,0.713604395,2,gini,30,64
test,523,683,1622885,32,43.36650083,99.99802824,94.23423423,99.95597624,59.39806928,65.85259733,0.433645291,0.639108671,0.716822645,2,gini,30,128
train,2384,1125,4865377,26,67.93958393,99.99946561,98.92116183,99.97636022,80.55414766,82.42525151,0.679390495,0.819697453,0.716822645,2,gini,30,128
test,357,835,1622655,26,29.94966443,99.99839771,93.21148825,99.94697861,45.33333333,54.72584814,0.299480621,0.528201017,0.649740311,2,entropy,10,32
train,1199,2324,4865585,54,34.03349418,99.99889018,95.69034318,99.95116203,50.20938023,58.33790918,0.340323844,0.570521322,0.649740311,2,entropy,10,32
test,355,865,1623040,31,29.09836066,99.99809004,91.96891192,99.94483747,44.20921544,53.94238119,0.290964507,0.517147855,0.645482253,2,entropy,10,64
train,1015,2480,4865197,52,29.04148784,99.9989312,95.12652296,99.9479948,44.49802718,53.88986681,0.29040419,0.525455472,0.645482253,2,entropy,10,64
test,427,774,1623826,40,35.55370525,99.99753674,91.43468951,99.94990976,51.19904077,59.62619346,0.35551242,0.569993248,0.67775621,2,entropy,10,128
train,1190,2324,4864395,59,33.86454183,99.99878712,95.27622098,99.95104734,49.96850724,58.1928957,0.33863329,0.567869082,0.67775621,2,entropy,10,128
test,524,661,1623421,76,44.21940928,99.99531875,87.33333333,99.95463728,58.71148459,66.49611963,0.44214728,0.621258404,0.72107364,2,entropy,20,32
train,2368,1162,4864760,63,67.08215297,99.99870499,97.40847388,99.97483749,79.44975675,81.90316493,0.67080858,0.808247616,0.72107364,2,entropy,20,32
test,539,679,1622002,80,44.25287356,99.99506807,87.07592892,99.95324339,58.68263473,66.52119289,0.442479416,0.620570632,0.721239708,2,entropy,20,64
train,2342,1155,4866147,91,66.97169002,99.99812997,96.25976161,99.97441339,78.98819562,81.83546764,0.6696982,0.802801951,0.721239708,2,entropy,20,64
test,542,677,1622163,85,44.46267432,99.99476036,86.44338118,99.95306341,58.72156013,66.67859075,0.444574347,0.619773857,0.722287173,2,entropy,20,128
train,2341,1155,4865995,77,66.96224256,99.99841761,96.81555004,99.97470001,79.16807575,81.829813,0.669606602,0.805061745,0.722287173,2,entropy,20,128
test,516,663,1621731,39,43.76590331,99.99759522,92.97297297,99.95674541,59.51557093,66.155008,0.437634985,0.637733028,0.718817493,2,entropy,30,32
