trees,depth,type,k,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,AreaROC
10,10,Train,1,430.0,3871.0,430.0,15.0,96.62921348314607,90.00232504068822,50.0,90.62368310155921,65.90038314176245,93.25692403428373,94.64114695040873,0.9801327751223778
10,10,Test,1,97.0,1013.0,97.0,17.0,85.08771929824562,91.26126126126127,50.0,90.68627450980392,62.98701298701298,88.12044360420603,86.9397818871503,0.936701701255901
10,20,Train,1,437.0,3879.0,437.0,8.0,98.20224719101124,89.87488415199259,50.0,90.65322411258138,66.262319939348,93.94634420645369,95.70403827930565,0.9899821646918714
10,20,Test,1,99.0,1014.0,99.0,15.0,86.8421052631579,91.10512129380054,50.0,90.70904645476773,63.46153846153845,88.94807773869537,88.12101007235069,0.9427113702623906
10,30,Train,1,437.0,3879.0,437.0,8.0,98.20224719101124,89.87488415199259,50.0,90.65322411258138,66.262319939348,93.94634420645369,95.70403827930565,0.9899821646918714
10,30,Test,1,97.0,1013.0,97.0,17.0,85.08771929824562,91.26126126126127,50.0,90.68627450980392,62.98701298701298,88.12044360420603,86.9397818871503,0.936701701255901
25,10,Train,1,430.0,3877.0,430.0,15.0,96.62921348314607,90.01625261202693,50.0,90.63552188552188,65.90038314176245,93.2641393602083,94.64532522181034,0.986709333831636
25,10,Test,1,98.0,1015.0,98.0,16.0,85.96491228070175,91.19496855345912,50.0,90.70904645476773,63.225806451612904,88.54133199890019,87.53392916252896,0.9459442468656825
25,20,Train,1,437.0,3881.0,437.0,8.0,98.20224719101124,89.87957387679482,50.0,90.65714885576317,66.262319939348,93.94879526248201,95.70544519674633,0.9921994489289986
25,20,Test,1,100.0,1017.0,100.0,14.0,87.71929824561403,91.04744852282901,50.0,90.73923639317628,63.69426751592356,89.36788176675236,88.71774332877852,0.9561734382296944
25,30,Train,1,439.0,3881.0,439.0,6.0,98.65168539325843,89.83796296296296,50.0,90.6610703043022,66.36432350718064,94.14173600796528,96.00756866416978,0.9924866235189033
25,30,Test,1,99.0,1017.0,99.0,15.0,86.8421052631579,91.12903225806451,50.0,90.73170731707317,63.46153846153845,88.95974939198373,88.12818336162988,0.9553493805694414
50,10,Train,1,429.0,3879.0,429.0,16.0,96.40449438202248,90.041782729805,50.0,90.63749211024617,65.84804297774367,93.1688388750379,94.49568088635723,0.988792766646202
50,10,Test,1,100.0,1016.0,100.0,14.0,87.71929824561403,91.0394265232975,50.0,90.73170731707317,63.69426751592356,89.36394467181267,88.71533672891907,0.9519194798254209
