instanceSelection,lshMEthod,sizeBucket,ands,ors,imbalance,neigh,subBuckets,distance,isMethod,trees,depth,type,k,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,AreaROC,timeLSH,timeIS,buckets,buckMax,buckMin,buckAvg,reduction
IS,hyperplanes,0.1,2,1,FALSE,4,1000,6,entropy,10,10,Train,1,76641,144479,76641,41424,64.91424215,65.33963459,50,65.19156213,56.48929231,65.12659105,65.04185988,0.792568842,0.478280349,1.222349903,4,1943444,223727,1000269.75,0.070171071
IS,hyperplanes,0.1,2,1,FALSE,4,1000,6,entropy,10,10,Test,1,316991,474697,316991,139840,69.38911764,59.96011055,50,63.41016837,58.12013608,64.50255161,66.56041551,0.798559648,0.478280349,1.222349903,4,1943444,223727,1000269.75,0.070171071
IS,hyperplanes,0.1,2,1,FALSE,4,1000,6,entropy,10,20,Train,1,90923,163927,90923,22067,80.46995309,64.32293506,50,69.28284037,61.67700009,71.94486477,75.62584768,0.920401935,0.686294286,0.982747526,4,2016882,178832,1000269.75,0.070171071
IS,hyperplanes,0.1,2,1,FALSE,4,1000,6,entropy,10,20,Test,1,320585,466232,320585,136246,70.17584183,59.25545584,50,63.26685686,58.39430019,64.48489356,66.89972604,0.791255377,0.686294286,0.982747526,4,2016882,178832,1000269.75,0.070171071
IS,hyperplanes,0.1,2,1,FALSE,4,1000,6,entropy,10,30,Train,1,155051,121790,155051,3031,98.08264065,43.99276119,50,63.65287649,66.23506997,65.68809776,81.85567681,0.985011346,0.43314333,0.697625625,4,1959183,241710,1000269.75,0.070171071
IS,hyperplanes,0.1,2,1,FALSE,4,1000,6,entropy,10,30,Test,1,316246,450942,316246,140585,69.22603764,58.77855232,50,62.67778523,58.06285188,63.78876292,66.09179204,0.769300588,0.43314333,0.697625625,4,1959183,241710,1000269.75,0.070171071
IS,hyperplanes,0.1,2,1,FALSE,4,1000,6,entropy,25,10,Train,1,140118,86872,140118,28965,82.86936002,38.27128948,50,57.31014232,62.36905183,56.31622561,69.48993886,0.79977342,0.689329364,0.655372392,4,2076839,159016,1000269.75,0.070171071
IS,hyperplanes,0.1,2,1,FALSE,4,1000,6,entropy,25,10,Test,1,322835,469891,322835,133996,70.66836533,59.27533599,50,63.44056334,58.56411922,64.7216432,67.25045653,0.797672129,0.689329364,0.655372392,4,2076839,159016,1000269.75,0.070171071
IS,hyperplanes,0.1,2,1,FALSE,4,1000,6,entropy,25,20,Train,1,159084,104260,159084,9734,94.23402718,39.59080139,50,60.93640811,65.33411638,61.0802804,77.84105944,0.934272498,0.436310688,0.605421592,4,1997624,215870,1000269.75,0.070171071
IS,hyperplanes,0.1,2,1,FALSE,4,1000,6,entropy,25,20,Test,1,328770,462986,328770,128061,71.96753285,58.47584357,50,63.41216111,59.00548381,64.87189062,67.92002607,0.794694852,0.436310688,0.605421592,4,1997624,215870,1000269.75,0.070171071
IS,hyperplanes,0.1,2,1,FALSE,4,1000,6,entropy,25,30,Train,1,147479,132433,147479,626,99.5773269,47.3123696,50,65.39740244,66.57247389,68.63846803,83.89783971,0.996896142,0.363539745,0.799376199,4,1921254,240227,1000269.75,0.070171071
