instanceSelection,lshMEthod,sizeBucket,ands,ors,imbalance,neigh,subBuckets,distance,isMethod,trees,depth,type,k,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,AreaROC,timeLSH,timeIS,buckets,buckMax,buckMin,buckAvg,reduction
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,10,10,Train,1,437.0,60.0,437.0,0.0,100.0,12.072434607645874,50.0,53.21199143468951,66.66666666666667,34.74540920416088,73.62173038229376,0.9921171171171171,0.045375216,2.2552659806666666,4.0,2544.0,323.0,1095.5,0.11501597444089456
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,10,10,Test,1,116.0,737.0,116.0,6.0,95.08196721311475,86.40093786635404,50.0,87.48717948717949,65.5367231638418,90.63758128608154,92.47765840908653,0.663592372742903,0.045375216,2.2552659806666666,4.0,2544.0,323.0,1095.5,0.11501597444089456
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,10,20,Train,1,437.0,59.0,437.0,0.0,100.0,11.895161290322582,50.0,53.161843515541264,66.66666666666667,34.489362548940484,73.56854838709677,0.9910112359550562,0.015519091233333334,2.401985869633333,4.0,2717.0,121.0,1095.5,0.11501597444089456
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,10,20,Test,1,117.0,736.0,117.0,5.0,95.90163934426229,86.28370457209847,50.0,87.48717948717949,65.73033707865169,90.96564580741601,93.01625891261315,0.6647296291125693,0.015519091233333334,2.401985869633333,4.0,2717.0,121.0,1095.5,0.11501597444089456
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,10,30,Train,1,437.0,61.0,437.0,0.0,100.0,12.248995983935743,50.0,53.26203208556149,66.66666666666667,34.99856566194641,73.67469879518072,0.9932279909706546,0.016900533633333333,2.25601062615,4.0,2848.0,102.0,1095.5,0.11501597444089456
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,10,30,Test,1,116.0,717.0,116.0,6.0,95.08196721311475,86.07442977190877,50.0,87.22513089005236,65.5367231638418,90.46616002384636,92.37970598075296,0.6543205677618302,0.016900533633333333,2.25601062615,4.0,2848.0,102.0,1095.5,0.11501597444089456
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,25,10,Train,1,436.0,56.0,436.0,1.0,99.77116704805492,11.38211382113821,50.0,52.960172228202374,66.6157372039725,33.69876525050666,73.25445107997992,0.9844407398586964,0.011782952783333333,1.6633779184166666,4.0,2650.0,134.0,1095.5,0.11387494294842537
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,25,10,Test,1,119.0,715.0,119.0,3.0,97.54098360655738,85.73141486810552,50.0,87.23849372384937,66.11111111111111,91.4457573221243,93.9981129850218,0.6582882220003153,0.011782952783333333,1.6633779184166666,4.0,2650.0,134.0,1095.5,0.11387494294842537
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,25,20,Train,1,436.0,65.0,436.0,1.0,99.77116704805492,12.974051896207584,50.0,53.41151385927505,66.6157372039725,35.978275375935695,73.73203250250072,0.9867553081838796,0.012008202,1.1597611265666667,4.0,2286.0,242.0,1095.5,0.11570059333637608
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,25,20,Test,1,120.0,706.0,120.0,2.0,98.36065573770492,85.4721549636804,50.0,87.13080168776372,66.29834254143645,91.69022417653004,94.49410550549756,0.6560678855820987,0.012008202,1.1597611265666667,4.0,2286.0,242.0,1095.5,0.11570059333637608
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,25,30,Train,1,436.0,62.0,436.0,1.0,99.77116704805492,12.449799196787147,50.0,53.26203208556149,66.6157372039725,35.243878835584916,73.57475669267458,0.9863945578231292,0.009915366166666667,1.7780132470166667,4.0,2660.0,100.0,1095.5,0.11501597444089456
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,25,30,Test,1,118.0,679.0,118.0,4.0,96.72131147540983,85.19447929736512,50.0,86.72470076169749,65.92178770949721,90.77511645878404,93.26326182199642,0.6423919393576586,0.009915366166666667,1.7780132470166667,4.0,2660.0,100.0,1095.5,0.11501597444089456
IS,hyperplanes,0.1,2,1,true,4,1000,6,drop3,50,10,Train,1,436.0,64.0,436.0,1.0,99.77116704805492,12.8,50.0,53.36179295624333,66.6157372039725,35.73612931215555,73.67981693363845,0.9855203619909504,0.00817631325,2.090246951566667,4.0,2836.0,128.0,1095.5,0.11570059333637608
